timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-02T13:38:49.841Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/axiom-partners-report.md results=mx-audit/results/axiompartners.vc,audit-pipeline.js,high,n-a
2026-05-02T13:38:49.841Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/axiom-partners-report.md results=mx-audit/results/axiompartners.vc cache=/Users/tomcranstoun/Documents/MX-hub/mx-audit/.cache,audit-pipeline.js,high,n-a
2026-05-02T13:38:49.843Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/axiom-partners-report.md template=/Users/tomcranstoun/Documents/MX-hub/mx-audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-02T13:38:49.969Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-02T13:38:49.969Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/axiom-partners-report.md,check-report-tone.js,high,n-a
2026-05-02T13:38:50.113Z,gates,0b,gate_result,Tone check FAILED,"Exit 1 — 3 violation(s); first: line 513: ""color → colour""",check-report-tone.js,high,fail
2026-05-02T13:38:50.775Z,gates,0c,gate_result,HTML render heading count OK: 29/29,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-05-02T13:38:50.776Z,gates,1,gate_result,check-template-leaks.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/axiom-partners-report.md,check-template-leaks.js,high,n-a
2026-05-02T13:38:50.903Z,gates,1,gate_result,Template leak check passed,Exit 0 — no unresolved placeholders or REWRITE blocks,check-template-leaks.js,high,pass
2026-05-02T13:38:50.903Z,gates,2,gate_result,verify-audit-report.js invoked,args: --report /Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/axiom-partners-report.md --results mx-audit/results/axiompartners.vc --cache /Users/tomcranstoun/Documents/MX-hub/mx-audit/.cache,verify-audit-report.js,high,n-a
2026-05-02T13:38:51.083Z,gates,2,gate_result,Deterministic verifier passed,Exit 0 — numeric=33 url=29 html=0 passed=33 skipped=30 total=63,verify-audit-report.js,high,pass
2026-05-02T13:38:51.083Z,gates,2,placeholder_fill,"Verification: 0 deterministic, 0 synthesised, 30 skipped",Deterministic ratio 0% — high LLM ratio indicates data gaps,mx-crm/outreach/2026-05-02/axiom-partners-report-verification.json,high,pass
2026-05-02T13:38:51.083Z,gates,3,gate_result,audit-fierce-critic.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/axiom-partners-report.md,audit-fierce-critic.js,high,n-a
2026-05-02T13:39:02.957Z,gates,3,gate_result,Fierce critic FAILED,"Exit 1 — 4 finding(s) in categories: subtle-failure-framing, hollow-recommendation, fabricated-specificity",audit-fierce-critic.js,high,fail
2026-05-02T13:39:02.957Z,gates,4,llm_round,LLM judgment round 1 — threshold=block,Prior rounds: 0; auto-warn at 3; within cap,audit-pipeline.js,high,n-a
2026-05-02T13:39:02.957Z,gates,4,gate_result,audit-llm-judgment.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/axiom-partners-report.md results=mx-audit/results/axiompartners.vc threshold=block priorRounds=0,audit-llm-judgment.js,high,n-a
