timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-01T19:33:51.270Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-01/mx-allabout-report.md results=mx-audit/results/mx.allabout.network,audit-pipeline.js,high,n-a
2026-05-01T19:33:51.271Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-01/mx-allabout-report.md results=mx-audit/results/mx.allabout.network cache=/Users/tomcranstoun/Documents/MX-hub/mx-audit/.cache,audit-pipeline.js,high,n-a
2026-05-01T19:33:51.272Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-01/mx-allabout-report.md template=/Users/tomcranstoun/Documents/MX-hub/mx-audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-01T19:33:51.410Z,gates,0a,gate_result,Template coverage FAILED,Exit 1 — silent infill skips,check-template-coverage.js,high,fail
2026-05-01T19:33:51.410Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-01/mx-allabout-report.md,check-report-tone.js,high,n-a
2026-05-01T19:33:51.553Z,gates,0b,gate_result,Tone check FAILED,"Exit 1 — 2 violation(s); first: line 710: ""€10,000""",check-report-tone.js,high,fail
2026-05-01T19:33:51.944Z,gates,0c,gate_result,HTML render heading count OK: 29/29,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-05-01T19:33:51.944Z,gates,1,gate_result,check-template-leaks.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-01/mx-allabout-report.md,check-template-leaks.js,high,n-a
2026-05-01T19:33:52.075Z,gates,1,gate_result,Template leak check FAILED,Exit 1 — 1 leak(s),check-template-leaks.js,high,fail
2026-05-01T19:33:52.076Z,gates,2,gate_result,verify-audit-report.js invoked,args: --report /Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-01/mx-allabout-report.md --results mx-audit/results/mx.allabout.network --cache /Users/tomcranstoun/Documents/MX-hub/mx-audit/.cache,verify-audit-report.js,high,n-a
