timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-06-12T20:48:59.277Z,collect,start,phase_start,collect phase started,url=https://dotfusion.com pages=10 client=dotfusion-com date=2026-06-12,audit-pipeline.js,high,n-a
2026-06-12T20:48:59.277Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://dotfusion.com pages=10 forceFresh=false client=dotfusion-com date=2026-06-12,audit-pipeline.js,high,n-a
2026-06-12T20:48:59.353Z,collect,cache-ttl,gate_result,Cache TTL prune (240h): Pruned 0 URL entries older than 240h; kept 233 fresh URL entries.,Age-based TTL is the only automatic cache-clear; within-TTL entries are reused for speed and fresh by definition,prune-cache.js,high,pass
2026-06-12T20:48:59.353Z,collect,1,anomaly,check-egress.js invoked,url=https://dotfusion.com,check-egress.js,high,n-a
2026-06-12T20:48:59.622Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-06-12T20:48:59.622Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://dotfusion.com,check-wellknown.js,high,n-a
2026-06-12T20:48:59.835Z,collect,2,sitemap_discovery,Well-known probe warned,Exit 1,check-wellknown.js,high,warn
2026-06-12T20:49:00.602Z,collect,2.5,sitemap_discovery,Sitemap-defect probe passed,Exit 0,check-sitemap-defects.js,high,pass
2026-06-12T20:49:00.603Z,collect,3,anomaly,Results dir cleared: mx-outputs/audit/2026-06-12/dotfusion.com/.infill,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-06-12T20:49:00.603Z,collect,3a,sitemap_discovery,check-ai-usage.js invoked,url=https://dotfusion.com,check-ai-usage.js,high,n-a
2026-06-12T20:49:00.814Z,collect,3a,sitemap_discovery,AI Usage Declaration probe warned,Exit 1,check-ai-usage.js,high,warn
2026-06-13T00:43:48.780Z,collect,start,phase_start,collect phase started,url=https://dotfusion.com pages=10 client=dotfusion-com date=2026-06-12,audit-pipeline.js,high,n-a
2026-06-13T00:43:48.780Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://dotfusion.com pages=10 forceFresh=false client=dotfusion-com date=2026-06-12,audit-pipeline.js,high,n-a
2026-06-13T00:43:48.866Z,collect,cache-ttl,gate_result,Cache TTL prune (240h): Pruned 0 URL entries older than 240h; kept 248 fresh URL entries.,Age-based TTL is the only automatic cache-clear; within-TTL entries are reused for speed and fresh by definition,prune-cache.js,high,pass
2026-06-13T00:43:48.866Z,collect,1,anomaly,check-egress.js invoked,url=https://dotfusion.com,check-egress.js,high,n-a
2026-06-13T00:43:50.158Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-06-13T00:43:50.158Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://dotfusion.com,check-wellknown.js,high,n-a
