timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-06-06T09:51:34.428Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-06/crowdfavorite.com/crowdfavorite-com-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-06/crowdfavorite.com/.infill,audit-pipeline.js,high,n-a
2026-06-06T09:51:34.429Z,gates,start,gate_result,audit_errors.json cleared for fresh gates run,Each --gates invocation records its own findings; previous run state has been preserved in the audit log CSV,audit-pipeline.js,high,pass
2026-06-06T09:51:34.429Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-06/crowdfavorite.com/crowdfavorite-com-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-06/crowdfavorite.com/.infill cache=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/crowdfavorite.com/.cache,audit-pipeline.js,high,n-a
2026-06-06T09:51:34.429Z,gates,0-rewrite,gate_result,No rewrite failures surfaced,Body scan found zero [REWRITE FAILED] markers,audit-pipeline.js (Gate 0-rewrite),high,pass
2026-06-06T09:51:34.429Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-06/crowdfavorite.com/crowdfavorite-com-report.md template=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-reginald/audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-06-06T09:51:34.569Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-06-06T09:51:34.571Z,gates,0a-versioning,gate_result,Template-contract drift check passed,tokens=280 contract=1.9,audit-pipeline.js,high,pass
2026-06-06T09:51:34.571Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-06/crowdfavorite.com/crowdfavorite-com-report.md,check-report-tone.js,high,n-a
2026-06-06T09:51:34.752Z,gates,0b,gate_result,Tone check passed,Exit 0 — no tone violations,check-report-tone.js,high,pass
2026-06-06T09:51:34.929Z,gates,0b-voice,gate_result,check-report-voice.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-06/crowdfavorite.com/crowdfavorite-com-report.md,check-report-voice.js,high,n-a
2026-06-06T09:51:35.007Z,gates,0b-voice,gate_result,Voice consistency passed,Exit 0 — every section voice-consistent,check-report-voice.js,high,pass
2026-06-06T09:51:35.007Z,gates,0b-scope,gate_result,check-report-scope.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-06/crowdfavorite.com/crowdfavorite-com-report.md,check-report-scope.js,high,n-a
2026-06-06T09:51:35.077Z,gates,0b-repair,gate_result,voice-scope repair deferred to unified pass,sidecars retained for the single consolidated repair below,audit-pipeline.js,high,pass
2026-06-06T09:51:35.077Z,gates,0b-scope,gate_result,Scope check WARNING after auto-repair,1 mis-statement(s) remain,check-report-scope.js,high,warn
2026-06-06T09:51:35.779Z,gates,0c,gate_result,HTML render heading count OK: 32/32,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-06-06T09:51:35.779Z,gates,0d,gate_result,check-report-contradictions.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-06/crowdfavorite.com/crowdfavorite-com-report.md ok-contradictions=false,check-report-contradictions.js,high,n-a
2026-06-06T09:51:35.915Z,gates,0d,gate_result,Contradiction check passed,Exit 0 — no dimension appears with conflicting band labels,check-report-contradictions.js,high,pass
2026-06-06T09:51:35.916Z,gates,0d-pages,gate_result,check-report-finding-pages.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-06/crowdfavorite.com/crowdfavorite-com-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-06/crowdfavorite.com/.infill,check-report-finding-pages.js,high,n-a
