timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-24T06:39:48.697Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-24/typo3.com/typo3-report.md results=audit-data/domains/typo3.com/results,audit-pipeline.js,high,n-a
2026-05-24T06:39:48.698Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-24/typo3.com/typo3-report.md results=audit-data/domains/typo3.com/results cache=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/typo3.com/cache,audit-pipeline.js,high,n-a
2026-05-24T06:39:48.699Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-24/typo3.com/typo3-report.md template=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-reginald/audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-24T06:39:48.833Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-24T06:39:48.833Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-24/typo3.com/typo3-report.md,check-report-tone.js,high,n-a
2026-05-24T06:39:48.995Z,gates,0b,gate_result,Tone check FAILED,"Exit 1 — 1 violation(s); first: line 327: ""not just""",check-report-tone.js,high,fail
2026-05-24T06:39:48.995Z,gates,0b-voice,gate_result,check-report-voice.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-24/typo3.com/typo3-report.md,check-report-voice.js,high,n-a
2026-05-24T06:39:49.068Z,gates,0b-scope,gate_result,check-report-scope.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-24/typo3.com/typo3-report.md,check-report-scope.js,high,n-a
2026-05-24T06:39:49.134Z,gates,0b-repair,gate_result,repair-report-voice-scope.js: invoked,"triggered by: voice (4), scope (1)",audit-pipeline.js,high,n-a
2026-05-24T07:00:11.626Z,gates,0b-repair,api_retry,API retries exhausted (repair-report-voice-scope),Error: terminated; gave up after 1 attempt(s),repair-report-voice-scope.js,medium,fail
2026-05-24T07:00:11.627Z,gates,0b-repair,gate_result,repair-report-voice-scope.js: failed,Exit 1,audit-pipeline.js,low,warn
2026-05-24T07:00:11.628Z,gates,0b-voice,gate_result,Voice consistency FAILED after auto-repair,4 mixed-voice section(s) remain,check-report-voice.js,high,fail
2026-05-24T07:00:11.628Z,gates,0b-scope,gate_result,Scope check FAILED after auto-repair,1 mis-statement(s) remain,check-report-scope.js,high,fail
2026-05-24T07:00:12.032Z,gates,0c,gate_result,HTML render heading count OK: 32/32,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-05-24T07:00:12.033Z,gates,0d,gate_result,check-report-contradictions.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-24/typo3.com/typo3-report.md ok-contradictions=false,check-report-contradictions.js,high,n-a
2026-05-24T07:00:12.158Z,gates,0d,gate_result,Contradiction check passed,Exit 0 — no dimension appears with conflicting band labels,check-report-contradictions.js,high,pass
2026-05-24T07:00:12.159Z,gates,0d-pages,gate_result,check-report-finding-pages.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-24/typo3.com/typo3-report.md results=audit-data/domains/typo3.com/results,check-report-finding-pages.js,high,n-a
2026-05-24T07:00:12.225Z,gates,0d-pages,gate_result,Finding-page attribution passed,Exit 0 — every named page matches Pa11y attribution,check-report-finding-pages.js,high,pass
2026-05-24T07:00:12.225Z,gates,0e,gate_result,check-report-section-completeness.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-24/typo3.com/typo3-report.md,check-report-section-completeness.js,high,n-a
2026-05-24T07:00:12.351Z,gates,0e,gate_result,Section completeness passed,Exit 0 — all At-a-Glance priority rows have complete findings blocks,check-report-section-completeness.js,high,pass
2026-05-24T07:00:12.351Z,gates,0p,gate_result,check-report-provenance-gap.js invoked,results=audit-data/domains/typo3.com/results warn-year-swap=false,check-report-provenance-gap.js,high,n-a
2026-05-24T07:00:12.414Z,gates,0p,gate_result,Provenance-gap gate passed,Exit 0 — no blocking provenance signals,check-report-provenance-gap.js,high,pass
2026-05-24T07:00:12.414Z,gates,0g,gate_result,check-report-section-sanity.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-24/typo3.com/typo3-report.md,check-report-section-sanity.js,high,n-a
2026-05-24T07:00:12.536Z,gates,0g,gate_result,Section sanity passed,Exit 0 — no orphan bullets / leaked markers / unexplained tokens,check-report-section-sanity.js,high,pass
2026-05-24T07:00:12.537Z,gates,0f,gate_result,check-report-rating-grade.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-24/typo3.com/typo3-report.md,check-report-rating-grade.js,high,n-a
2026-05-24T07:00:12.661Z,gates,0f,gate_result,Rating-grade check passed,Exit 0 — all rating/grade and score/band pairs match expected thresholds,check-report-rating-grade.js,high,pass
