URL,Schema Type,Severity,Property,Why It Matters
https://allabout.network/,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://allabout.network/,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://allabout.network/,WebSite,recommended,author,Site has no top-level author/owner declared
https://allabout.network/,WebSite,recommended,publisher,Site has no top-level publisher declared
https://allabout.network/,Book,required,bookFormat,"Book has no format (ebook, hardcover, paperback)"
https://allabout.network/,Book,recommended,datePublished,Book has no publication date
https://allabout.network/,Book,recommended,image,Book has no cover image
https://allabout.network/,Book,recommended,isbn,Book has no ISBN; cross-catalogue identification lost
https://allabout.network/blogs/ddt/a-guide-to-ai-optimization-an-update,Article,required,datePublished,AI agents cannot date the article; freshness signals lost
https://allabout.network/blogs/ddt/a-guide-to-ai-optimization-an-update,Article,recommended,dateModified,Crawlers cannot tell when the article was last updated; freshness signals stale
https://allabout.network/blogs/ddt/a-guide-to-ai-optimization-an-update,Organization,required,name,Organization entity has no name — entire entity is meaningless
https://allabout.network/blogs/ddt/a-managers-guide-to-document-authoring-with-edge-delivery-services,Article,required,datePublished,AI agents cannot date the article; freshness signals lost
https://allabout.network/blogs/ddt/a-managers-guide-to-document-authoring-with-edge-delivery-services,Article,recommended,dateModified,Crawlers cannot tell when the article was last updated; freshness signals stale
https://allabout.network/blogs/ddt/a-managers-guide-to-document-authoring-with-edge-delivery-services,Organization,required,name,Organization entity has no name — entire entity is meaningless
https://allabout.network/blogs/ddt/adobe-eds-revolutionizing-content-management,Organization,required,name,Organization entity has no name — entire entity is meaningless
https://allabout.network/blogs/ddt/aem-development-with-ai,Article,required,datePublished,AI agents cannot date the article; freshness signals lost
https://allabout.network/blogs/ddt/aem-development-with-ai,Article,recommended,image,Search snippets and social shares show no thumbnail
https://allabout.network/blogs/ddt/aem-development-with-ai,Article,recommended,dateModified,Crawlers cannot tell when the article was last updated; freshness signals stale
https://allabout.network/blogs/ddt/aem-development-with-ai,Organization,required,name,Organization entity has no name — entire entity is meaningless
https://allabout.network/blogs/ddt/ai-generated-code,Article,required,datePublished,AI agents cannot date the article; freshness signals lost
https://allabout.network/blogs/ddt/ai-generated-code,Article,recommended,dateModified,Crawlers cannot tell when the article was last updated; freshness signals stale
https://allabout.network/blogs/ddt/ai-generated-code,Organization,required,name,Organization entity has no name — entire entity is meaningless
