timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-26T23:47:00.583Z,collect,start,phase_start,collect phase started,url=https://mx.allabout.network pages=-1 client=mx-allabout-network date=2026-05-26,audit-pipeline.js,high,n-a
2026-05-26T23:47:00.583Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://mx.allabout.network pages=-1 forceFresh=true client=mx-allabout-network date=2026-05-26,audit-pipeline.js,high,n-a
2026-05-26T23:47:00.584Z,collect,1,anomaly,check-egress.js invoked,url=https://mx.allabout.network,check-egress.js,high,n-a
2026-05-26T23:47:01.287Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-05-26T23:47:01.287Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://mx.allabout.network,check-wellknown.js,high,n-a
2026-05-26T23:47:13.568Z,collect,2,sitemap_discovery,Well-known probe passed,Exit 0,check-wellknown.js,high,pass
2026-05-26T23:47:13.569Z,collect,3,anomaly,Results dir cleared: mx-outputs/audit/2026-05-26/mx.allabout.network/.infill,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-05-26T23:47:13.569Z,collect,3a,sitemap_discovery,check-ai-usage.js invoked,url=https://mx.allabout.network,check-ai-usage.js,high,n-a
2026-05-26T23:47:16.139Z,collect,3a,sitemap_discovery,AI Usage Declaration probe passed,Exit 0,check-ai-usage.js,high,pass
2026-05-26T23:47:16.657Z,collect,4,sitemap_discovery,Sitemap: https://mx.allabout.network/sitemap.xml,Responded HTTP 200 to HEAD request,https://mx.allabout.network/sitemap.xml,high,pass
2026-05-26T23:47:16.658Z,collect,5,sitemap_discovery,mx-reginald/audit/index.js invoked,entry=https://mx.allabout.network/sitemap.xml htmlPagesRequested=-1 crawlCap=-1 (buffer=2 for non-HTML discovery files) forceFresh=true,mx-reginald/audit/index.js,high,n-a
2026-05-27T00:11:45.776Z,collect,5,score_summary,Crawler complete,Exit 0,mx-outputs/audit/2026-05-26/mx.allabout.network/.infill,high,pass
2026-05-27T00:11:45.776Z,collect,5a,sitemap_discovery,discover-urls.js invoked,url=https://mx.allabout.network out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill/discovery.json,discover-urls.js,high,n-a
2026-05-27T00:11:46.355Z,collect,5a,sitemap_discovery,Sitemap grading complete,discovery.json written — SITEMAP_* placeholders will be filled at report time,/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill/discovery.json,high,pass
2026-05-27T00:11:46.355Z,collect,5b,sitemap_discovery,topup-pdfs-from-sitemap.js invoked,results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill,topup-pdfs-from-sitemap.js,high,n-a
2026-05-27T00:11:46.423Z,collect,5b,sitemap_discovery,Sitemap PDF topup complete,no append count parsed,topup-pdfs-from-sitemap.js,high,pass
2026-05-27T00:11:46.423Z,collect,5c,sitemap_discovery,capture-pdf-sample.js invoked,url=https://mx.allabout.network out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill,capture-pdf-sample.js,high,n-a
2026-05-27T00:11:46.624Z,collect,5c,sitemap_discovery,PDF accessibility sample captured,no pdfCount parsed,capture-pdf-sample.js,high,pass
2026-05-27T00:11:46.625Z,collect,6,anomaly,error-page-test.js invoked,url=https://mx.allabout.network,error-page-test.js,high,n-a
2026-05-27T00:11:47.194Z,collect,6,anomaly,Error page test passed,Exit 0,error-page-test.js,high,pass
2026-05-27T00:11:47.194Z,collect,7,agent_access,agent-access-test.js invoked,url=https://mx.allabout.network out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill,agent-access-test.js,high,n-a
2026-05-27T00:12:07.674Z,collect,7,agent_access,Agent access test complete,Exit 0 — agent-access.json written to /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill,agent-access-test.js,high,pass
2026-05-27T00:12:07.674Z,collect,8,score_summary,check-served-rendered-gap.js invoked,resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill,check-served-rendered-gap.js,high,n-a
2026-05-27T00:12:07.759Z,collect,8,score_summary,No significant served/rendered gap,All AI suitability dimensions within 5-point threshold,mx-outputs/audit/2026-05-26/mx.allabout.network/.infill/audit_averages.json,high,pass
2026-05-27T00:12:07.759Z,collect,8a,anomaly,slowest-page-probe.js invoked,resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill method=cache-busted-x3,slowest-page-probe.js,high,n-a
2026-05-27T00:12:20.433Z,collect,8a,anomaly,Slowest-page re-probe: good,"Server response time is within healthy bounds on the slowest page and a median-load page, for both first-visit and returning-visitor requests.",slowest-page-perf.json,high,pass
2026-05-27T00:12:20.434Z,collect,8b,score_summary,provenance-gap.js invoked,url=https://mx.allabout.network resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill cacheDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/mx.allabout.network/.cache,provenance-gap.js,high,n-a
2026-05-27T00:12:20.617Z,collect,8b,score_summary,Provenance-gap scan complete,"provenance-gap: 0 pages scanned, 0 self-promotional listicles, 0 year-swap pages, 0 provenance-gap cluster(s)",mx-outputs/audit/2026-05-26/mx.allabout.network/.infill/provenance_gap.json,high,pass
2026-05-27T00:12:20.617Z,collect,8c,score_summary,provenance-gap-llm.js invoked,url=https://mx.allabout.network resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill cacheDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/mx.allabout.network/.cache maxPages=5,provenance-gap-llm.js,high,n-a
2026-05-27T00:12:20.784Z,collect,8c,score_summary,Provenance-gap LLM pass complete,"provenance-gap-llm: 0 page(s) evaluated, 0 qualitative finding(s).",mx-outputs/audit/2026-05-26/mx.allabout.network/.infill/provenance_gap_llm.json,high,pass
2026-05-27T00:12:20.784Z,collect,9,score_summary,generate-preflight-findings.js invoked,resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill/preflight-findings.json,generate-preflight-findings.js,high,n-a
2026-05-27T00:12:20.872Z,collect,9,score_summary,Preflight findings written,"Pre-digested scores, findings, schema maturity, journey, agent access — ready for LLM phases",mx-outputs/audit/2026-05-26/mx.allabout.network/.infill/preflight-findings.json,high,pass
2026-05-27T00:12:20.873Z,collect,9,absence_finding,No llms.txt published,Agents have no machine-curated index of site content or declared access policy,mx-outputs/audit/2026-05-26/mx.allabout.network/.infill/preflight-findings.json,high,warn
2026-05-27T00:12:20.873Z,collect,9,absence_finding,No sitemap.xml,Crawlers rely on link discovery only; unlisted pages may not be indexed,mx-outputs/audit/2026-05-26/mx.allabout.network/.infill/preflight-findings.json,high,warn
2026-05-27T00:12:20.873Z,collect,9,absence_finding,"Security headers absent: HSTS, CSP, X-Frame-Options, X-Content-Type-Options",Missing security headers increase exposure to content injection and clickjacking,mx-outputs/audit/2026-05-26/mx.allabout.network/.infill/preflight-findings.json,high,warn
2026-05-27T00:12:20.873Z,collect,9,absence_finding,Open Graph metadata incomplete or absent,Social sharing previews and agent link summaries lack author-controlled descriptions,mx-outputs/audit/2026-05-26/mx.allabout.network/.infill/preflight-findings.json,high,warn
2026-05-27T00:12:20.873Z,collect,10,score_summary,Collect phase complete,All automated steps finished including preflight-findings.json,audit-pipeline.js,high,pass
2026-05-27T00:12:20.873Z,collect,end,phase_end,collect phase ended — SUCCESS,All automated collection steps complete; LLM phases ready to start,audit-pipeline.js,high,pass
2026-05-27T00:12:20.949Z,report,start,phase_start,report phase started,hostname=mx.allabout.network client=mx-allabout-network date=2026-05-26 model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-27T00:12:20.950Z,report,0,template_selection,Template: web-audit-suite-template.md,Generic template — no commerce anchor,/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill/seo_scores.csv,high,pass
2026-05-27T00:12:20.950Z,report,0,gate_result,Infill provenance snapshot written,Copied web-audit-suite-template.md and scoring-methodology.json into .infill/ for provenance,mx-outputs/audit/2026-05-26/mx.allabout.network/.infill,high,pass
2026-05-27T00:12:21.023Z,report,0,gate_result,Template voice check WARNING - 1 violation(s),"Template prose carries forbidden patterns; recorded for reviewer, pipeline continues",check-template-voice.js,high,warn
2026-05-27T00:12:21.023Z,report,1,placeholder_fill,infill-report.js invoked,template=web-audit-suite-template.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infilled/mx-allabout-network.md,infill-report.js,high,n-a
2026-05-27T00:12:21.917Z,report,1,placeholder_fill,Infill complete,Exit 0 — skeleton at mx-outputs/audit/2026-05-26/mx.allabout.network/.infilled/mx-allabout-network.md,infill-report.js,high,pass
2026-05-27T00:12:21.918Z,report,2,placeholder_fill,rewrite-report.js: invoked,infilled=mx-outputs/audit/2026-05-26/mx.allabout.network/.infilled/mx-allabout-network.md out=mx-outputs/audit/2026-05-26/mx.allabout.network/mx-allabout-network-report.md model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-27T00:12:51.457Z,report,2,placeholder_fill,rewrite-report.js: complete,Exit 0 — final report at mx-outputs/audit/2026-05-26/mx.allabout.network/mx-allabout-network-report.md,audit-pipeline.js,high,pass
2026-05-27T00:12:51.524Z,report,2.5,placeholder_fill,Engagement table regenerated,Deterministic rebuild from priority blocks — no LLM drift possible,regenerate-engagement-table.js,high,pass
2026-05-27T00:12:51.592Z,report,end,phase_end,report phase ended,infill=ok rewrite=ok,audit-pipeline.js,high,pass
2026-05-27T06:05:13.027Z,report,start,phase_start,report phase started,hostname=mx.allabout.network client=mx-allabout-network date=2026-05-26 model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-27T06:05:13.027Z,report,0,template_selection,Template: web-audit-suite-template.md,Generic template — no commerce anchor,/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill/seo_scores.csv,high,pass
2026-05-27T06:05:13.027Z,report,0,gate_result,Infill provenance snapshot written,Copied web-audit-suite-template.md and scoring-methodology.json into .infill/ for provenance,mx-outputs/audit/2026-05-26/mx.allabout.network/.infill,high,pass
2026-05-27T06:05:13.109Z,report,0,gate_result,Template voice check passed,template=web-audit-suite-template.md,check-template-voice.js,high,pass
2026-05-27T06:05:13.109Z,report,1,placeholder_fill,infill-report.js invoked,template=web-audit-suite-template.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infilled/mx-allabout-network.md,infill-report.js,high,n-a
2026-05-27T06:05:15.185Z,report,1,placeholder_fill,Infill complete,Exit 0 — skeleton at mx-outputs/audit/2026-05-26/mx.allabout.network/.infilled/mx-allabout-network.md,infill-report.js,high,pass
2026-05-27T06:05:15.185Z,report,2,placeholder_fill,rewrite-report.js: invoked,infilled=mx-outputs/audit/2026-05-26/mx.allabout.network/.infilled/mx-allabout-network.md out=mx-outputs/audit/2026-05-26/mx.allabout.network/mx-allabout-network-report.md model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-27T06:05:47.600Z,report,2,placeholder_fill,rewrite-report.js: complete,Exit 0 — final report at mx-outputs/audit/2026-05-26/mx.allabout.network/mx-allabout-network-report.md,audit-pipeline.js,high,pass
2026-05-27T06:05:47.670Z,report,2.5,placeholder_fill,Engagement table regenerated,Deterministic rebuild from priority blocks — no LLM drift possible,regenerate-engagement-table.js,high,pass
2026-05-27T06:05:47.735Z,report,end,phase_end,report phase ended,infill=ok rewrite=ok,audit-pipeline.js,high,pass
2026-05-27T06:13:09.076Z,report,start,phase_start,report phase started,hostname=mx.allabout.network client=mx-allabout-network date=2026-05-26 model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-27T06:13:09.077Z,report,0,template_selection,Template: web-audit-suite-template.md,Generic template — no commerce anchor,/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill/seo_scores.csv,high,pass
2026-05-27T06:13:09.077Z,report,0,gate_result,Infill provenance snapshot written,Copied web-audit-suite-template.md and scoring-methodology.json into .infill/ for provenance,mx-outputs/audit/2026-05-26/mx.allabout.network/.infill,high,pass
2026-05-27T06:13:09.157Z,report,0,gate_result,Template voice check passed,template=web-audit-suite-template.md,check-template-voice.js,high,pass
2026-05-27T06:13:09.157Z,report,1,placeholder_fill,infill-report.js invoked,template=web-audit-suite-template.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infilled/mx-allabout-network.md,infill-report.js,high,n-a
2026-05-27T06:13:10.441Z,report,1,placeholder_fill,Infill complete,Exit 0 — skeleton at mx-outputs/audit/2026-05-26/mx.allabout.network/.infilled/mx-allabout-network.md,infill-report.js,high,pass
2026-05-27T06:13:10.441Z,report,2,placeholder_fill,rewrite-report.js: invoked,infilled=mx-outputs/audit/2026-05-26/mx.allabout.network/.infilled/mx-allabout-network.md out=mx-outputs/audit/2026-05-26/mx.allabout.network/mx-allabout-network-report.md model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-27T06:13:40.452Z,report,2,placeholder_fill,rewrite-report.js: complete,Exit 0 — final report at mx-outputs/audit/2026-05-26/mx.allabout.network/mx-allabout-network-report.md,audit-pipeline.js,high,pass
2026-05-27T06:13:40.521Z,report,2.5,placeholder_fill,Engagement table regenerated,Deterministic rebuild from priority blocks — no LLM drift possible,regenerate-engagement-table.js,high,pass
2026-05-27T06:13:40.592Z,report,end,phase_end,report phase ended,infill=ok rewrite=ok,audit-pipeline.js,high,pass
2026-05-27T06:16:53.877Z,report,start,phase_start,report phase started,hostname=mx.allabout.network client=mx-allabout-network date=2026-05-26 model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-27T06:16:53.877Z,report,0,template_selection,Template: web-audit-suite-template.md,Generic template — no commerce anchor,/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill/seo_scores.csv,high,pass
2026-05-27T06:16:53.877Z,report,0,gate_result,Infill provenance snapshot written,Copied web-audit-suite-template.md and scoring-methodology.json into .infill/ for provenance,mx-outputs/audit/2026-05-26/mx.allabout.network/.infill,high,pass
2026-05-27T06:16:53.954Z,report,0,gate_result,Template voice check passed,template=web-audit-suite-template.md,check-template-voice.js,high,pass
2026-05-27T06:16:53.955Z,report,1,placeholder_fill,infill-report.js invoked,template=web-audit-suite-template.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infill out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-26/mx.allabout.network/.infilled/mx-allabout-network.md,infill-report.js,high,n-a
2026-05-27T06:16:54.930Z,report,1,placeholder_fill,Infill complete,Exit 0 — skeleton at mx-outputs/audit/2026-05-26/mx.allabout.network/.infilled/mx-allabout-network.md,infill-report.js,high,pass
2026-05-27T06:16:54.930Z,report,2,placeholder_fill,rewrite-report.js: invoked,infilled=mx-outputs/audit/2026-05-26/mx.allabout.network/.infilled/mx-allabout-network.md out=mx-outputs/audit/2026-05-26/mx.allabout.network/mx-allabout-network-report.md model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-27T06:17:27.806Z,report,2,placeholder_fill,rewrite-report.js: complete,Exit 0 — final report at mx-outputs/audit/2026-05-26/mx.allabout.network/mx-allabout-network-report.md,audit-pipeline.js,high,pass
2026-05-27T06:17:27.873Z,report,2.5,placeholder_fill,Engagement table regenerated,Deterministic rebuild from priority blocks — no LLM drift possible,regenerate-engagement-table.js,high,pass
2026-05-27T06:17:27.938Z,report,end,phase_end,report phase ended,infill=ok rewrite=ok,audit-pipeline.js,high,pass
