timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-02T13:38:58.889Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/rivan-report.md results=mx-audit/results/rivan.com,audit-pipeline.js,high,n-a
2026-05-02T13:38:58.890Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/rivan-report.md results=mx-audit/results/rivan.com cache=/Users/tomcranstoun/Documents/MX-hub/mx-audit/.cache,audit-pipeline.js,high,n-a
2026-05-02T13:38:58.892Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/rivan-report.md template=/Users/tomcranstoun/Documents/MX-hub/mx-audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-02T13:38:59.018Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-02T13:38:59.018Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/rivan-report.md,check-report-tone.js,high,n-a
2026-05-02T13:38:59.163Z,gates,0b,gate_result,Tone check FAILED,"Exit 1 — 4 violation(s); first: line 510: ""color → colour""",check-report-tone.js,high,fail
2026-05-02T13:38:59.548Z,gates,0c,gate_result,HTML render heading count OK: 29/29,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-05-02T13:38:59.548Z,gates,1,gate_result,check-template-leaks.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/rivan-report.md,check-template-leaks.js,high,n-a
2026-05-02T13:38:59.678Z,gates,1,gate_result,Template leak check FAILED,Exit 1 — 1 leak(s),check-template-leaks.js,high,fail
2026-05-02T13:38:59.679Z,gates,2,gate_result,verify-audit-report.js invoked,args: --report /Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/rivan-report.md --results mx-audit/results/rivan.com --cache /Users/tomcranstoun/Documents/MX-hub/mx-audit/.cache,verify-audit-report.js,high,n-a
