URL,Schema Type,Severity,Property,Why It Matters
https://neomwellbeing.com/,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 851218 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 473016 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 344071 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Product,recommended,description,Product has no description; AI shopping agents have nothing to summarise
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Product,recommended,sku,Product cannot be uniquely identified across catalogues
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Product,recommended,brand,Product brand attribution missing
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Offer,recommended,seller,Offer has no seller attribution
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Product,recommended,aggregateRating,Product has no rating signal for ranking
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 481283 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 347688 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Product,recommended,description,Product has no description; AI shopping agents have nothing to summarise
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Product,recommended,sku,Product cannot be uniquely identified across catalogues
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Product,recommended,brand,Product brand attribution missing
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Offer,recommended,seller,Offer has no seller attribution
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Product,recommended,aggregateRating,Product has no rating signal for ranking
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 475756 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 344926 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Product,recommended,description,Product has no description; AI shopping agents have nothing to summarise
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Product,recommended,sku,Product cannot be uniquely identified across catalogues
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Product,recommended,brand,Product brand attribution missing
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Offer,recommended,seller,Offer has no seller attribution
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Product,recommended,aggregateRating,Product has no rating signal for ranking
