timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-06-03T13:26:14.517Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/www-contentful-com-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/.infill,audit-pipeline.js,high,n-a
2026-06-03T13:26:14.517Z,gates,start,gate_result,audit_errors.json cleared for fresh gates run,Each --gates invocation records its own findings; previous run state has been preserved in the audit log CSV,audit-pipeline.js,high,pass
2026-06-03T13:26:14.517Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/www-contentful-com-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/.infill cache=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/www.contentful.com/.cache,audit-pipeline.js,high,n-a
2026-06-03T13:26:14.518Z,gates,0-rewrite,gate_result,No rewrite failures surfaced,Body scan found zero [REWRITE FAILED] markers,audit-pipeline.js (Gate 0-rewrite),high,pass
2026-06-03T13:26:14.518Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/www-contentful-com-report.md template=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-reginald/audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-06-03T13:26:14.658Z,gates,0a,gate_result,Template coverage HARD FAIL,Exit 1 - unresolved [UPPERCASE] placeholders; blocking PDF render,check-template-coverage.js,high,fail
2026-06-03T13:26:14.659Z,gates,0a-versioning,gate_result,Template-contract drift check passed,tokens=309 contract=1.5,audit-pipeline.js,high,pass
2026-06-03T13:26:14.659Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/www-contentful-com-report.md,check-report-tone.js,high,n-a
2026-06-03T13:26:14.825Z,gates,0b,gate_result,Tone check passed,Exit 0 — no tone violations,check-report-tone.js,high,pass
2026-06-03T13:26:14.984Z,gates,0b-voice,gate_result,check-report-voice.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/www-contentful-com-report.md,check-report-voice.js,high,n-a
2026-06-03T13:26:15.059Z,gates,0b-voice,gate_result,Voice consistency passed,Exit 0 — every section voice-consistent,check-report-voice.js,high,pass
2026-06-03T13:26:15.059Z,gates,0b-scope,gate_result,check-report-scope.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/www-contentful-com-report.md,check-report-scope.js,high,n-a
2026-06-03T13:26:15.128Z,gates,0b-scope,gate_result,Scope check passed,Exit 0 — no scope mis-statements,check-report-scope.js,high,pass
2026-06-03T13:26:15.832Z,gates,0c,gate_result,HTML render heading mismatch: markdown=33 rendered=32,Unescaped HTML tag inside a table cell likely causing pandoc raw-text truncation,audit-pipeline.js,high,warn
2026-06-03T13:26:15.833Z,gates,0d,gate_result,check-report-contradictions.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/www-contentful-com-report.md ok-contradictions=false,check-report-contradictions.js,high,n-a
2026-06-03T13:26:15.964Z,gates,0d,gate_result,Contradiction check passed,Exit 0 — no dimension appears with conflicting band labels,check-report-contradictions.js,high,pass
2026-06-03T13:26:15.964Z,gates,0d-pages,gate_result,check-report-finding-pages.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/www-contentful-com-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/.infill,check-report-finding-pages.js,high,n-a
2026-06-03T13:26:16.040Z,gates,0d-pages,gate_result,Finding-page attribution passed,Exit 0 — every named page matches Pa11y attribution,check-report-finding-pages.js,high,pass
2026-06-03T13:26:16.040Z,gates,0e,gate_result,check-report-section-completeness.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/www-contentful-com-report.md,check-report-section-completeness.js,high,n-a
2026-06-03T13:26:16.179Z,gates,0e,gate_result,Section completeness WARNING - 11 issue(s),At-a-Glance row without complete Priority N findings block,check-report-section-completeness.js,high,warn
2026-06-03T13:26:16.179Z,gates,0p,gate_result,check-report-provenance-gap.js invoked,results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/.infill warn-year-swap=false,check-report-provenance-gap.js,high,n-a
2026-06-03T13:26:16.247Z,gates,0p,gate_result,Provenance-gap gate passed,Exit 0 — no blocking provenance signals,check-report-provenance-gap.js,high,pass
2026-06-03T13:26:16.247Z,gates,0g,gate_result,check-report-section-sanity.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/www-contentful-com-report.md,check-report-section-sanity.js,high,n-a
2026-06-03T13:26:16.386Z,gates,0g,gate_result,Section sanity passed,Exit 0 — no orphan bullets / leaked markers / unexplained tokens,check-report-section-sanity.js,high,pass
2026-06-03T13:26:16.386Z,gates,0f,gate_result,check-report-rating-grade.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/www-contentful-com-report.md,check-report-rating-grade.js,high,n-a
2026-06-03T13:26:16.525Z,gates,0f,gate_result,Rating-grade check passed,Exit 0 — all rating/grade and score/band pairs match expected thresholds,check-report-rating-grade.js,high,pass
2026-06-03T13:26:16.525Z,gates,1,gate_result,check-template-leaks.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/www-contentful-com-report.md,check-template-leaks.js,high,n-a
2026-06-03T13:26:16.669Z,gates,1,gate_result,Template leak check HARD FAIL,Exit 1 — 2 leak(s); blocking PDF render,check-template-leaks.js,high,fail
2026-06-03T13:26:16.669Z,gates,2,gate_result,verify-audit-report.js invoked,args: --report /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/www-contentful-com-report.md --results /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/.infill --cache /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/www.contentful.com/.cache,verify-audit-report.js,high,n-a
2026-06-03T13:26:16.902Z,gates,2,gate_result,Deterministic verifier passed,Exit 0 — numeric=23 url=33 html=0 passed=23 skipped=34 total=57,verify-audit-report.js,high,pass
2026-06-03T13:26:16.902Z,gates,2,placeholder_fill,"Verification: 0 deterministic, 0 synthesised, 34 skipped",Deterministic ratio 0% — high LLM ratio indicates data gaps,mx-outputs/audit/2026-06-03/www.contentful.com/www-contentful-com-report-verification.json,high,pass
2026-06-03T13:27:59.567Z,gates,3,gate_result,audit-fierce-critic.js: gate passed,Exit 0,audit-pipeline.js,high,pass
2026-06-03T13:29:07.299Z,gates,4,gate_result,audit-llm-judgment.js: gate passed,Exit 0 withdrawn=0,audit-pipeline.js,high,pass
2026-06-03T13:29:07.299Z,gates,3-4-final,gate_result,Running repair-report-unified.js,Consolidates voice + scope + fierce-critic + llm-judgment + attribution findings into one tool-use call after deterministic patches,audit-pipeline.js,high,n-a
2026-06-03T13:32:13.567Z,gates,3-4-final,gate_result,repair-report-unified.js: failed,exit=1,audit-pipeline.js,low,warn
2026-06-03T13:32:13.649Z,gates,3-4-final-regen,placeholder_fill,Engagement table regenerated post-repair,Deterministic rebuild after final repair,regenerate-engagement-table.js,high,pass
2026-06-03T13:32:13.649Z,gates,revalidate,gate_result,Re-running 4 previously-failed gate(s) after consolidated repair,"gates: 0a, 0c, 0e, 1",audit-pipeline.js,high,n-a
2026-06-03T13:32:13.790Z,gates,0a-revalidate,gate_result,0a still failed after final repair,Re-check exit 1,audit-pipeline.js,high,fail
2026-06-03T13:32:13.790Z,gates,0c-revalidate,gate_result,0c not re-checked (no runner registered),Gate is not addressed by the consolidated repair; preserving original failure,audit-pipeline.js,medium,warn
2026-06-03T13:32:13.928Z,gates,0e-revalidate,gate_result,0e still failed after final repair,Re-check exit 1,audit-pipeline.js,high,fail
2026-06-03T13:32:14.071Z,gates,1-revalidate,gate_result,1 still failed after final repair,Re-check exit 1,audit-pipeline.js,high,fail
2026-06-03T13:32:14.071Z,gates,revalidate,gate_result,"Gates still failing after revalidation: 0a, 0c, 0e, 1",Final repair did not fix every early-gate failure,audit-pipeline.js,high,fail
2026-06-03T13:32:14.211Z,gates,post-repair-leak-check,gate_result,Template leak check FAILED after repair pass,Repair introduced structural corruption,check-template-leaks.js,high,fail
2026-06-03T13:32:14.213Z,gates,5,gate_result,"Gates failed — proceeding to error-PDF (0a, 0c, 0e, 1)",anyFail=true; recording residual failures and continuing to PDF,audit-pipeline.js,high,fail
2026-06-03T13:32:14.213Z,gates,4b,gate_result,check-report-coherence.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/www-contentful-com-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/.infill,check-report-coherence.js,high,n-a
2026-06-03T13:32:14.337Z,gates,4b,gate_result,Coherence check passed,Exit 0 — no cross-section contradictions,check-report-coherence.js,high,pass
2026-06-03T13:32:14.862Z,gates,4c,gate_result,check-recommendation-consistency.js recorded 1 finding(s),Per-check findings appended to audit_errors.json,check-recommendation-consistency.js,high,warn
2026-06-03T13:32:32.801Z,gates,4d,gate_result,Provenance sidecar written,chain at /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-03/www.contentful.com/.infill/provenance.json,build-provenance.js,high,pass
