timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-02T13:39:00.512Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/steel-atlas-report.md results=mx-audit/results/www.steelatlas.vc,audit-pipeline.js,high,n-a
2026-05-02T13:39:00.512Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/steel-atlas-report.md results=mx-audit/results/www.steelatlas.vc cache=/Users/tomcranstoun/Documents/MX-hub/mx-audit/.cache,audit-pipeline.js,high,n-a
2026-05-02T13:39:00.514Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/steel-atlas-report.md template=/Users/tomcranstoun/Documents/MX-hub/mx-audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-02T13:39:00.643Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-02T13:39:00.643Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/steel-atlas-report.md,check-report-tone.js,high,n-a
2026-05-02T13:39:00.786Z,gates,0b,gate_result,Tone check FAILED,"Exit 1 — 2 violation(s); first: line 524: ""color → colour""",check-report-tone.js,high,fail
2026-05-02T13:39:01.121Z,gates,0c,gate_result,HTML render heading count OK: 29/29,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-05-02T13:39:01.121Z,gates,1,gate_result,check-template-leaks.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/steel-atlas-report.md,check-template-leaks.js,high,n-a
2026-05-02T13:39:01.251Z,gates,1,gate_result,Template leak check passed,Exit 0 — no unresolved placeholders or REWRITE blocks,check-template-leaks.js,high,pass
2026-05-02T13:39:01.251Z,gates,2,gate_result,verify-audit-report.js invoked,args: --report /Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/steel-atlas-report.md --results mx-audit/results/www.steelatlas.vc --cache /Users/tomcranstoun/Documents/MX-hub/mx-audit/.cache,verify-audit-report.js,high,n-a
