timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-25T15:37:04.875Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/dotfusion.com/Dotfusion-report.md results=audit-data/domains/dotfusion.com/results,audit-pipeline.js,high,n-a
2026-05-25T15:37:04.876Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/dotfusion.com/Dotfusion-report.md results=audit-data/domains/dotfusion.com/results cache=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/dotfusion.com/cache,audit-pipeline.js,high,n-a
2026-05-25T15:37:04.878Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/dotfusion.com/Dotfusion-report.md template=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-reginald/audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-25T15:37:05.013Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-25T15:37:05.013Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/dotfusion.com/Dotfusion-report.md,check-report-tone.js,high,n-a
2026-05-25T15:37:05.179Z,gates,0b,gate_result,Tone check FAILED,"Exit 1 — 1 violation(s); first: line 266: ""not just""",check-report-tone.js,high,fail
2026-05-25T15:37:05.179Z,gates,0b-voice,gate_result,check-report-voice.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/dotfusion.com/Dotfusion-report.md,check-report-voice.js,high,n-a
2026-05-25T15:37:05.258Z,gates,0b-scope,gate_result,check-report-scope.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/dotfusion.com/Dotfusion-report.md,check-report-scope.js,high,n-a
2026-05-25T15:37:05.331Z,gates,0b-repair,gate_result,repair-report-voice-scope.js: invoked,"triggered by: voice (2), scope (1)",audit-pipeline.js,high,n-a
2026-05-25T15:37:16.724Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/dotfusion.com/Dotfusion-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/dotfusion.com/results,audit-pipeline.js,high,n-a
2026-05-25T15:37:16.725Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/dotfusion.com/Dotfusion-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/dotfusion.com/results cache=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/dotfusion.com/cache,audit-pipeline.js,high,n-a
2026-05-25T15:37:16.727Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/dotfusion.com/Dotfusion-report.md template=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-reginald/audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-25T15:37:16.860Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-25T15:37:16.861Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/dotfusion.com/Dotfusion-report.md,check-report-tone.js,high,n-a
2026-05-25T15:37:17.027Z,gates,0b,gate_result,Tone check FAILED,"Exit 1 — 1 violation(s); first: line 266: ""not just""",check-report-tone.js,high,fail
2026-05-25T15:37:17.027Z,gates,0b-voice,gate_result,check-report-voice.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/dotfusion.com/Dotfusion-report.md,check-report-voice.js,high,n-a
2026-05-25T15:37:17.103Z,gates,0b-scope,gate_result,check-report-scope.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/dotfusion.com/Dotfusion-report.md,check-report-scope.js,high,n-a
2026-05-25T15:37:17.174Z,gates,0b-repair,gate_result,repair-report-voice-scope.js: invoked,"triggered by: voice (2), scope (1)",audit-pipeline.js,high,n-a
2026-05-25T15:44:07.037Z,gates,0b-repair,gate_result,repair-report-voice-scope.js: applied,Re-running 0b gates,audit-pipeline.js,high,pass
2026-05-25T15:44:07.037Z,gates,0b-voice,gate_result,check-report-voice.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/dotfusion.com/Dotfusion-report.md,check-report-voice.js,high,n-a
2026-05-25T15:44:07.115Z,gates,0b-scope,gate_result,check-report-scope.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/dotfusion.com/Dotfusion-report.md,check-report-scope.js,high,n-a
2026-05-25T15:44:07.191Z,gates,0b-scope,gate_result,Scope check passed,Exit 0 — no scope mis-statements,check-report-scope.js,high,pass
2026-05-25T15:44:07.191Z,gates,0b-voice,gate_result,Voice consistency FAILED after auto-repair,2 mixed-voice section(s) remain,check-report-voice.js,high,fail
2026-05-25T15:44:08.449Z,gates,0c,gate_result,HTML render heading count OK: 32/32,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
