timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-06-01T12:19:05.581Z,report,start,phase_start,report phase started,hostname=dotfusion.com client=Dotfusion date=2026-06-01 model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-06-01T12:19:05.581Z,report,0,template_selection,Template: web-audit-suite-template.md,Generic template — no commerce anchor,/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-01/dotfusion.com/.infill/seo_scores.csv,high,pass
2026-06-01T12:19:05.581Z,report,0,gate_result,Infill provenance snapshot written,Copied web-audit-suite-template.md and scoring-methodology.json into .infill/ for provenance,mx-outputs/audit/2026-06-01/dotfusion.com/.infill,high,pass
2026-06-01T12:19:05.689Z,report,0,gate_result,Template voice check passed,template=web-audit-suite-template.md,check-template-voice.js,high,pass
2026-06-01T12:19:05.689Z,report,1,placeholder_fill,infill-report.js invoked,template=web-audit-suite-template.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-01/dotfusion.com/.infill out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-01/dotfusion.com/.infilled/Dotfusion.md,infill-report.js,high,n-a
2026-06-01T12:19:06.239Z,report,1,placeholder_fill,Infill complete,Exit 0 — skeleton at mx-outputs/audit/2026-06-01/dotfusion.com/.infilled/Dotfusion.md,infill-report.js,high,pass
2026-06-01T12:19:06.239Z,report,2,placeholder_fill,rewrite-report.js: invoked,infilled=mx-outputs/audit/2026-06-01/dotfusion.com/.infilled/Dotfusion.md out=mx-outputs/audit/2026-06-01/dotfusion.com/Dotfusion-report.md model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-06-01T12:51:18.718Z,report,2,api_retry,API retries exhausted (rewrite-report block 1),APIConnectionError: Ollama request to http://127.0.0.1:11434/api/chat failed: fetch failed. Is the local Ollama daemon running?; gave up after 3 attempt(s),rewrite-report.js,medium,fail
2026-06-01T12:51:18.719Z,report,2,placeholder_fill,rewrite-report.js: finished with errors,Exit 1 — report written with failure markers,audit-pipeline.js,medium,warn
2026-06-01T12:51:18.894Z,report,2.5,placeholder_fill,Engagement table regen warned,Exit 2,regenerate-engagement-table.js,medium,warn
2026-06-01T12:51:19.074Z,report,end,phase_end,report phase ended,infill=ok rewrite=warn,audit-pipeline.js,high,warn
