timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-20T17:49:25.138Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-20/www.dkd.de/www-dkd-de-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.dkd.de/results,audit-pipeline.js,high,n-a
2026-05-20T17:49:25.139Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-20/www.dkd.de/www-dkd-de-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.dkd.de/results cache=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.dkd.de/cache,audit-pipeline.js,high,n-a
2026-05-20T17:49:25.140Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-20/www.dkd.de/www-dkd-de-report.md template=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-reginald/audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-20T17:49:25.289Z,gates,0a,gate_result,Template coverage FAILED,Exit 1 — silent infill skips,check-template-coverage.js,high,fail
2026-05-20T17:49:25.289Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-20/www.dkd.de/www-dkd-de-report.md,check-report-tone.js,high,n-a
2026-05-20T17:49:25.487Z,gates,0b,gate_result,Tone check FAILED,"Exit 1 — 8 violation(s); first: line 190: ""—""",check-report-tone.js,high,fail
2026-05-20T17:49:25.488Z,gates,0b-voice,gate_result,check-report-voice.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-20/www.dkd.de/www-dkd-de-report.md,check-report-voice.js,high,n-a
2026-05-20T17:49:25.563Z,gates,0b-scope,gate_result,check-report-scope.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-20/www.dkd.de/www-dkd-de-report.md,check-report-scope.js,high,n-a
2026-05-20T17:49:25.633Z,gates,0b-repair,gate_result,repair-report-voice-scope.js invoked,"triggered by: voice (1), scope (2)",repair-report-voice-scope.js,high,n-a
2026-05-20T17:56:34.924Z,gates,0b-repair,gate_result,Auto-repair applied,Re-running 0b gates,repair-report-voice-scope.js,high,pass
