timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-06-13T08:41:46.655Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/enhancely.ai/enhancely-ai-report.md results=mx-outputs/audit/2026-06-12/enhancely.ai/.infill,audit-pipeline.js,high,n-a
2026-06-13T08:41:46.655Z,gates,start,gate_result,audit_errors.json cleared for fresh gates run,Each --gates invocation records its own findings; previous run state has been preserved in the audit log CSV,audit-pipeline.js,high,pass
2026-06-13T08:41:46.655Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/enhancely.ai/enhancely-ai-report.md results=mx-outputs/audit/2026-06-12/enhancely.ai/.infill cache=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/enhancely.ai/.cache,audit-pipeline.js,high,n-a
2026-06-13T08:41:46.656Z,gates,0-rewrite,gate_result,No rewrite failures surfaced,Body scan found zero [REWRITE FAILED] markers,audit-pipeline.js (Gate 0-rewrite),high,pass
2026-06-13T08:41:46.656Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/enhancely.ai/enhancely-ai-report.md template=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-reginald/audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-06-13T08:41:46.797Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-06-13T08:41:46.798Z,gates,0a-versioning,gate_result,Template-contract drift check passed,tokens=334 contract=1.30,audit-pipeline.js,high,pass
2026-06-13T08:41:46.798Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/enhancely.ai/enhancely-ai-report.md,check-report-tone.js,high,n-a
2026-06-13T08:41:46.983Z,gates,0b,gate_result,Tone check passed,Exit 0 — no tone violations,check-report-tone.js,high,pass
2026-06-13T08:41:47.164Z,gates,0b-voice,gate_result,check-report-voice.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/enhancely.ai/enhancely-ai-report.md,check-report-voice.js,high,n-a
2026-06-13T08:41:47.248Z,gates,0b-voice,gate_result,Voice consistency passed,Exit 0 — every section voice-consistent,check-report-voice.js,high,pass
2026-06-13T08:41:47.248Z,gates,0b-scope,gate_result,check-report-scope.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/enhancely.ai/enhancely-ai-report.md,check-report-scope.js,high,n-a
2026-06-13T08:41:47.322Z,gates,0b-repair,gate_result,voice-scope repair deferred to unified pass,sidecars retained for the single consolidated repair below,audit-pipeline.js,high,pass
2026-06-13T08:41:47.322Z,gates,0b-scope,gate_result,Scope check WARNING after auto-repair,2 mis-statement(s) remain,check-report-scope.js,high,warn
2026-06-13T08:41:47.765Z,gates,0c,gate_result,HTML render heading count OK: 35/35,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-06-13T08:41:47.765Z,gates,0d,gate_result,check-report-contradictions.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/enhancely.ai/enhancely-ai-report.md ok-contradictions=false,check-report-contradictions.js,high,n-a
2026-06-13T08:41:47.911Z,gates,0d,gate_result,Contradiction check passed,Exit 0 — no dimension appears with conflicting band labels,check-report-contradictions.js,high,pass
2026-06-13T08:41:47.912Z,gates,0d-pages,gate_result,check-report-finding-pages.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/enhancely.ai/enhancely-ai-report.md results=mx-outputs/audit/2026-06-12/enhancely.ai/.infill,check-report-finding-pages.js,high,n-a
2026-06-13T08:41:47.985Z,gates,0d-pages,gate_result,Finding-page attribution passed,Exit 0 — every named page matches Pa11y attribution,check-report-finding-pages.js,high,pass
2026-06-13T08:41:47.986Z,gates,0e,gate_result,check-report-section-completeness.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/enhancely.ai/enhancely-ai-report.md,check-report-section-completeness.js,high,n-a
2026-06-13T08:41:48.127Z,gates,0e,gate_result,Section completeness passed,Exit 0 — all At-a-Glance priority rows have complete findings blocks,check-report-section-completeness.js,high,pass
2026-06-13T08:41:48.127Z,gates,0p,gate_result,check-report-provenance-gap.js invoked,results=mx-outputs/audit/2026-06-12/enhancely.ai/.infill warn-year-swap=false,check-report-provenance-gap.js,high,n-a
2026-06-13T08:41:48.196Z,gates,0p,gate_result,Provenance-gap gate passed,Exit 0 — no blocking provenance signals,check-report-provenance-gap.js,high,pass
2026-06-13T08:41:48.196Z,gates,0g,gate_result,check-report-section-sanity.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/enhancely.ai/enhancely-ai-report.md,check-report-section-sanity.js,high,n-a
2026-06-13T08:41:48.334Z,gates,0g,gate_result,Section sanity passed,Exit 0 — no orphan bullets / leaked markers / unexplained tokens,check-report-section-sanity.js,high,pass
2026-06-13T08:41:48.334Z,gates,0f,gate_result,check-report-rating-grade.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/enhancely.ai/enhancely-ai-report.md,check-report-rating-grade.js,high,n-a
2026-06-13T08:41:48.471Z,gates,0f,gate_result,Rating-grade check passed,Exit 0 — all rating/grade and score/band pairs match expected thresholds,check-report-rating-grade.js,high,pass
2026-06-13T08:41:48.471Z,gates,1,gate_result,check-template-leaks.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/enhancely.ai/enhancely-ai-report.md,check-template-leaks.js,high,n-a
2026-06-13T08:41:48.609Z,gates,1,gate_result,Template leak check passed,Exit 0 — no unresolved placeholders or REWRITE blocks,check-template-leaks.js,high,pass
2026-06-13T08:41:48.609Z,gates,2,gate_result,verify-audit-report.js invoked,args: --report /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/enhancely.ai/enhancely-ai-report.md --results mx-outputs/audit/2026-06-12/enhancely.ai/.infill --cache /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/enhancely.ai/.cache,verify-audit-report.js,high,n-a
2026-06-13T08:41:48.855Z,gates,2,gate_result,Deterministic verifier passed,Exit 0 — numeric=35 url=46 html=0 passed=35 skipped=47 total=82,verify-audit-report.js,high,pass
2026-06-13T08:41:48.856Z,gates,2,placeholder_fill,"Verification: 0 deterministic, 0 synthesised, 47 skipped",Deterministic ratio 0% — high LLM ratio indicates data gaps,mx-outputs/audit/2026-06-12/enhancely.ai/enhancely-ai-report-verification.json,high,pass
2026-06-13T08:43:17.533Z,gates,3,gate_result,audit-fierce-critic.js: gate passed,Exit 0,audit-pipeline.js,high,pass
2026-06-13T08:44:32.309Z,gates,4,gate_result,audit-llm-judgment.js: gate passed,Exit 0 withdrawn=0,audit-pipeline.js,high,pass
