timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-02T13:29:16.601Z,collect,start,phase_start,collect phase started,url=https://rivan.com pages=5 client=rivan date=2026-05-02,audit-pipeline.js,high,n-a
2026-05-02T13:29:16.602Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://rivan.com pages=5 forceFresh=false client=rivan date=2026-05-02,audit-pipeline.js,high,n-a
2026-05-02T13:29:16.606Z,collect,1,anomaly,check-egress.js invoked,url=https://rivan.com,check-egress.js,high,n-a
2026-05-02T13:29:17.165Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-05-02T13:29:17.165Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://rivan.com,check-wellknown.js,high,n-a
2026-05-02T13:29:22.319Z,collect,2,sitemap_discovery,Well-known probe passed,Exit 0,check-wellknown.js,high,pass
2026-05-02T13:29:22.322Z,collect,3,anomaly,Results dir cleared: mx-audit/results/rivan.com,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-05-02T13:29:24.048Z,collect,4,sitemap_discovery,Sitemap: https://rivan.com/sitemap.xml,Responded HTTP 200 to HEAD request,https://rivan.com/sitemap.xml,high,pass
2026-05-02T13:29:24.048Z,collect,5,sitemap_discovery,mx-audit/index.js invoked,entry=https://rivan.com/sitemap.xml pages=5 forceFresh=false,mx-audit/index.js,high,n-a
2026-05-02T13:31:01.884Z,collect,5,score_summary,Crawler complete,Exit 0,mx-audit/results/rivan.com,high,pass
2026-05-02T13:31:01.884Z,collect,6,anomaly,error-page-test.js invoked,url=https://rivan.com,error-page-test.js,high,n-a
2026-05-02T13:31:02.966Z,collect,6,anomaly,Error page test passed,Exit 0,error-page-test.js,high,pass
2026-05-02T13:31:02.967Z,collect,7,agent_access,agent-access-test.js invoked,url=https://rivan.com out=/Users/tomcranstoun/Documents/MX-hub/mx-audit/results/rivan.com,agent-access-test.js,high,n-a
2026-05-02T13:31:12.894Z,collect,7,agent_access,Agent access test complete,Exit 0 — agent-access.json written to /Users/tomcranstoun/Documents/MX-hub/mx-audit/results/rivan.com,agent-access-test.js,high,pass
2026-05-02T13:31:12.894Z,collect,8,score_summary,check-served-rendered-gap.js invoked,resultsDir=/Users/tomcranstoun/Documents/MX-hub/mx-audit/results/rivan.com,check-served-rendered-gap.js,high,n-a
2026-05-02T13:31:12.962Z,collect,8,score_summary,No significant served/rendered gap,All AI suitability dimensions within 5-point threshold,mx-audit/results/rivan.com/audit_averages.json,high,pass
2026-05-02T13:31:12.962Z,collect,9,score_summary,generate-preflight-findings.js invoked,resultsDir=/Users/tomcranstoun/Documents/MX-hub/mx-audit/results/rivan.com out=/Users/tomcranstoun/Documents/MX-hub/mx-audit/results/rivan.com/preflight-findings.json,generate-preflight-findings.js,high,n-a
2026-05-02T13:31:13.035Z,collect,9,score_summary,Preflight findings written,"Pre-digested scores, findings, schema maturity, journey, agent access — ready for LLM phases",mx-audit/results/rivan.com/preflight-findings.json,high,pass
2026-05-02T13:31:13.036Z,collect,9,absence_finding,No llms.txt published,Agents have no machine-curated index of site content or declared access policy,mx-audit/results/rivan.com/preflight-findings.json,high,warn
2026-05-02T13:31:13.036Z,collect,9,absence_finding,No sitemap.xml,Crawlers rely on link discovery only; unlisted pages may not be indexed,mx-audit/results/rivan.com/preflight-findings.json,high,warn
2026-05-02T13:31:13.036Z,collect,9,absence_finding,"Security headers absent: CSP, X-Frame-Options, X-Content-Type-Options",Missing security headers increase exposure to content injection and clickjacking,mx-audit/results/rivan.com/preflight-findings.json,high,warn
2026-05-02T13:31:13.036Z,collect,10,score_summary,Collect phase complete,All automated steps finished including preflight-findings.json,audit-pipeline.js,high,pass
2026-05-02T13:31:13.036Z,collect,end,phase_end,collect phase ended — SUCCESS,All automated collection steps complete; LLM phases ready to start,audit-pipeline.js,high,pass
2026-05-02T13:36:31.727Z,report,start,phase_start,report phase started,hostname=rivan.com client=rivan date=2026-05-02 model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-02T13:36:31.727Z,report,0,template_selection,Template: web-audit-suite-template.md,Generic template — no commerce anchor,/Users/tomcranstoun/Documents/MX-hub/mx-audit/results/rivan.com/seo_scores.csv,high,pass
2026-05-02T13:36:31.729Z,report,1,placeholder_fill,infill-report.js invoked,template=web-audit-suite-template.md results=/Users/tomcranstoun/Documents/MX-hub/mx-audit/results/rivan.com out=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/.infilled/rivan.md,infill-report.js,high,n-a
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"AGENT_NAME","csv-lookup","Tom Cranstoun",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"AGENT_COMPANY","csv-lookup","CogNovaMX Ltd",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"AGENT_EMAIL","csv-lookup","info@cognovamx.com",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"AGENT_WEBSITE","csv-lookup","https://allabout.network",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"AGENT_LEGAL","csv-lookup","",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"CLIENT_NAME","csv-lookup","Rivan",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"CLIENT_SHORT_NAME","csv-lookup","rivan",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"CLIENT_SLUG","csv-lookup","rivan",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"CLIENT_URL","csv-lookup","https://rivan.com",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"CLIENT_HOSTNAME","csv-lookup","rivan.com",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"TARGET_URL","csv-lookup","https://rivan.com",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"DATE","csv-lookup","2 May 2026",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"DATE_YYYY_MM_DD","csv-lookup","2026-05-02",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"YEAR","csv-lookup","2026",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"YYYYMMDD","csv-lookup","20260502",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"NUMBER_OF_PAGES_AUDITED","csv-lookup","5",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"NUMBER_OF_PAGES_AUDITED_LABEL","csv-lookup","5 pages",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"NAV_PAGES","csv-lookup","0",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"CONTENT_PAGES","csv-lookup","5",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"SEO_SCORE","csv-lookup","75",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"SEO_CONTENT_SCORE","csv-lookup","75",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"NAV_PAGES_NOTE","csv-lookup","",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"URL_DEDUP_NOTE","csv-lookup","",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"URL_CANONICAL_VARIANTS_FINDING","csv-lookup","",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"A11Y_SCORE","csv-lookup","66",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"NUMBER_OF_ISSUES","csv-lookup","34",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"A11Y_TOTAL_ISSUES","csv-lookup","34",high,pass
2026-05-02T13:36:31Z,report,5-infill,placeholder_fill,"A11Y_TOTAL_CRITICAL","csv-lookup","34",high,pass
