timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-15T17:23:35.116Z,collect,start,phase_start,collect phase started,url=https://neomwellbeing.com pages=5 client=neomwellbeing-com date=2026-05-15,audit-pipeline.js,high,n-a
2026-05-15T17:23:35.116Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://neomwellbeing.com pages=5 forceFresh=false client=neomwellbeing-com date=2026-05-15,audit-pipeline.js,high,n-a
2026-05-15T17:23:35.117Z,collect,1,anomaly,check-egress.js invoked,url=https://neomwellbeing.com,check-egress.js,high,n-a
2026-05-15T17:23:35.359Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-05-15T17:23:35.359Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://neomwellbeing.com,check-wellknown.js,high,n-a
2026-05-15T17:23:38.982Z,collect,2,sitemap_discovery,Well-known probe passed,Exit 0,check-wellknown.js,high,pass
2026-05-15T17:23:38.989Z,collect,3,anomaly,Results dir cleared: audit-data/domains/neomwellbeing.com/results,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-05-15T17:23:40.486Z,collect,4,sitemap_discovery,Sitemap: https://neomwellbeing.com/sitemap.xml,Responded HTTP 200 to HEAD request,https://neomwellbeing.com/sitemap.xml,high,pass
2026-05-15T17:23:40.486Z,collect,5,sitemap_discovery,mx-reginald/audit/index.js invoked,entry=https://neomwellbeing.com/sitemap.xml htmlPagesRequested=5 crawlCap=7 (buffer=2 for non-HTML discovery files) forceFresh=false,mx-reginald/audit/index.js,high,n-a
2026-05-15T17:29:01.957Z,collect,5,score_summary,Crawler complete,Exit 0,audit-data/domains/neomwellbeing.com/results,high,pass
2026-05-15T17:29:01.958Z,collect,5a,sitemap_discovery,discover-urls.js invoked,url=https://neomwellbeing.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/neomwellbeing.com/results/discovery.json,discover-urls.js,high,n-a
