timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-06-13T08:59:50.382Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/specification.website/specification-website-report.md results=mx-outputs/audit/2026-06-12/specification.website/.infill,audit-pipeline.js,high,n-a
2026-06-13T08:59:50.383Z,gates,start,gate_result,audit_errors.json cleared for fresh gates run,Each --gates invocation records its own findings; previous run state has been preserved in the audit log CSV,audit-pipeline.js,high,pass
2026-06-13T08:59:50.383Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/specification.website/specification-website-report.md results=mx-outputs/audit/2026-06-12/specification.website/.infill cache=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/specification.website/.cache,audit-pipeline.js,high,n-a
2026-06-13T08:59:50.384Z,gates,0-rewrite,gate_result,No rewrite failures surfaced,Body scan found zero [REWRITE FAILED] markers,audit-pipeline.js (Gate 0-rewrite),high,pass
2026-06-13T08:59:50.384Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/specification.website/specification-website-report.md template=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-reginald/audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-06-13T08:59:50.529Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-06-13T08:59:50.531Z,gates,0a-versioning,gate_result,Template-contract drift check passed,tokens=334 contract=1.30,audit-pipeline.js,high,pass
2026-06-13T08:59:50.531Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/specification.website/specification-website-report.md,check-report-tone.js,high,n-a
2026-06-13T08:59:50.709Z,gates,0b,gate_result,Tone check passed,Exit 0 — no tone violations,check-report-tone.js,high,pass
2026-06-13T08:59:50.889Z,gates,0b-voice,gate_result,check-report-voice.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/specification.website/specification-website-report.md,check-report-voice.js,high,n-a
2026-06-13T08:59:50.970Z,gates,0b-voice,gate_result,Voice consistency passed,Exit 0 — every section voice-consistent,check-report-voice.js,high,pass
2026-06-13T08:59:50.971Z,gates,0b-scope,gate_result,check-report-scope.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/specification.website/specification-website-report.md,check-report-scope.js,high,n-a
2026-06-13T08:59:51.047Z,gates,0b-scope,gate_result,Scope check passed,Exit 0 — no scope mis-statements,check-report-scope.js,high,pass
2026-06-13T08:59:51.442Z,gates,0c,gate_result,HTML render heading count OK: 35/35,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-06-13T08:59:51.443Z,gates,0d,gate_result,check-report-contradictions.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/specification.website/specification-website-report.md ok-contradictions=false,check-report-contradictions.js,high,n-a
2026-06-13T08:59:51.579Z,gates,0d,gate_result,Contradiction check passed,Exit 0 — no dimension appears with conflicting band labels,check-report-contradictions.js,high,pass
2026-06-13T08:59:51.579Z,gates,0d-pages,gate_result,check-report-finding-pages.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/specification.website/specification-website-report.md results=mx-outputs/audit/2026-06-12/specification.website/.infill,check-report-finding-pages.js,high,n-a
2026-06-13T08:59:51.652Z,gates,0d-pages,gate_result,Finding-page attribution passed,Exit 0 — every named page matches Pa11y attribution,check-report-finding-pages.js,high,pass
2026-06-13T08:59:51.652Z,gates,0e,gate_result,check-report-section-completeness.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/specification.website/specification-website-report.md,check-report-section-completeness.js,high,n-a
2026-06-13T08:59:51.790Z,gates,0e,gate_result,Section completeness passed,Exit 0 — all At-a-Glance priority rows have complete findings blocks,check-report-section-completeness.js,high,pass
2026-06-13T08:59:51.791Z,gates,0p,gate_result,check-report-provenance-gap.js invoked,results=mx-outputs/audit/2026-06-12/specification.website/.infill warn-year-swap=false,check-report-provenance-gap.js,high,n-a
2026-06-13T08:59:51.859Z,gates,0p,gate_result,Provenance-gap gate passed,Exit 0 — no blocking provenance signals,check-report-provenance-gap.js,high,pass
2026-06-13T08:59:51.859Z,gates,0g,gate_result,check-report-section-sanity.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/specification.website/specification-website-report.md,check-report-section-sanity.js,high,n-a
2026-06-13T08:59:51.995Z,gates,0g,gate_result,Section sanity passed,Exit 0 — no orphan bullets / leaked markers / unexplained tokens,check-report-section-sanity.js,high,pass
2026-06-13T08:59:51.995Z,gates,0f,gate_result,check-report-rating-grade.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/specification.website/specification-website-report.md,check-report-rating-grade.js,high,n-a
2026-06-13T08:59:52.130Z,gates,0f,gate_result,Rating-grade check passed,Exit 0 — all rating/grade and score/band pairs match expected thresholds,check-report-rating-grade.js,high,pass
2026-06-13T08:59:52.131Z,gates,1,gate_result,check-template-leaks.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/specification.website/specification-website-report.md,check-template-leaks.js,high,n-a
2026-06-13T08:59:52.268Z,gates,1,gate_result,Template leak check passed,Exit 0 — no unresolved placeholders or REWRITE blocks,check-template-leaks.js,high,pass
2026-06-13T08:59:52.269Z,gates,2,gate_result,verify-audit-report.js invoked,args: --report /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/specification.website/specification-website-report.md --results mx-outputs/audit/2026-06-12/specification.website/.infill --cache /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/specification.website/.cache,verify-audit-report.js,high,n-a
2026-06-13T08:59:52.486Z,gates,2,gate_result,Deterministic verifier passed,Exit 0 — numeric=30 url=34 html=0 passed=30 skipped=35 total=65,verify-audit-report.js,high,pass
2026-06-13T08:59:52.486Z,gates,2,placeholder_fill,"Verification: 0 deterministic, 0 synthesised, 35 skipped",Deterministic ratio 0% — high LLM ratio indicates data gaps,mx-outputs/audit/2026-06-12/specification.website/specification-website-report-verification.json,high,pass
2026-06-13T09:01:15.436Z,gates,3,gate_result,audit-fierce-critic.js: gate passed,Exit 0,audit-pipeline.js,high,pass
2026-06-13T09:02:57.315Z,gates,4,gate_result,audit-llm-judgment.js: gate passed,Exit 0 withdrawn=3,audit-pipeline.js,high,pass
2026-06-13T09:02:57.315Z,gates,3-4-final,gate_result,Running repair-report-unified.js,Consolidates voice + scope + fierce-critic + llm-judgment + attribution findings into one tool-use call after deterministic patches,audit-pipeline.js,high,n-a
2026-06-13T09:05:04.485Z,gates,3-4-final,gate_result,repair-report-unified.js: complete (report ready for PDF),Report ready for PDF,audit-pipeline.js,high,pass
2026-06-13T09:05:04.564Z,gates,3-4-final-regen,placeholder_fill,Engagement table regenerated post-repair,Deterministic rebuild after final repair,regenerate-engagement-table.js,high,pass
2026-06-13T09:05:04.638Z,gates,3-4-final-regen,placeholder_fill,Audit-over-audit comparison regenerated post-repair,Deterministic rebuild after final repair,inject-audit-delta.js,high,pass
2026-06-13T09:05:04.788Z,gates,post-repair-leak-check,gate_result,Post-repair structural integrity: clean,"check-template-leaks exit 0, no warnings",check-template-leaks.js,high,pass
2026-06-13T09:05:04.788Z,gates,4b,gate_result,check-report-coherence.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/specification.website/specification-website-report.md results=mx-outputs/audit/2026-06-12/specification.website/.infill,check-report-coherence.js,high,n-a
2026-06-13T09:05:04.905Z,gates,4b,gate_result,Coherence check passed,Exit 0 — no cross-section contradictions,check-report-coherence.js,high,pass
2026-06-13T09:05:05.620Z,gates,4c,gate_result,check-cross-section-consistency.js recorded 1 finding(s),Per-check findings appended to audit_errors.json,check-cross-section-consistency.js,high,warn
2026-06-13T09:05:05.830Z,gates,prose-lint,gate_result,audit-prose-lint.js recorded 49 finding(s),"categories: dialect-divergence=10, curly-quote=1, ai-vocab-phrase=2, ai-vocab-word=4, possession-copula=4, same-sentence-repetition=28",audit-prose-lint.js,high,warn
2026-06-13T09:05:05.830Z,gates,cross-check,gate_result,cross-check-claims.js skipped,MX_AUDIT_COG_PATH unset - the LLM cross-check runs only on the cog path by operator contract,audit-pipeline.js,high,skipped
2026-06-13T09:05:14.701Z,gates,4d,gate_result,Provenance sidecar written,chain at mx-outputs/audit/2026-06-12/specification.website/.infill/provenance.json,build-provenance.js,high,pass
2026-06-13T09:05:14.958Z,gates,4e,gate_result,Findings actioned,triaged; anonymised trail updated; escalations + proposals written,action-findings.js,high,pass
2026-06-13T09:05:14.960Z,gates,5,gate_result,Static seed sections injected,Approved static prose injected into report markdown before PDF render,lib/static-seeds.js,high,pass
2026-06-13T09:05:14.960Z,gates,5,gate_result,audit-pdf.sh invoked,input=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/specification.website/specification-website-report.md output=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/specification.website/specification-website-report.pdf engine=chrome,audit-pdf.sh,high,n-a
2026-06-13T09:05:21.968Z,gates,5,gate_result,PDF generated: mx-outputs/audit/2026-06-12/specification.website/specification-website-report.pdf,audit-pdf.sh exited 0 — engine=chrome EAA Level 0 size=unknown,audit-pdf.sh,high,pass
2026-06-13T09:05:21.968Z,gates,6,gate_result,Gates pipeline complete,Full gate suite ran; PDF generated,audit-pipeline.js,high,pass
2026-06-13T09:05:21.968Z,gates,end,phase_end,gates phase ended,Full gate suite ran; PDF generated; awaiting optional reviewer sign-off,audit-pipeline.js,high,pass
