timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-24T06:18:22.989Z,report,start,phase_start,report phase started,hostname=typo3.com client=typo3 date=2026-05-24 model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-24T06:18:22.989Z,report,0,template_selection,Template: web-audit-suite-template.md,Generic template — no commerce anchor,/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/typo3.com/results/seo_scores.csv,high,pass
2026-05-24T06:18:23.061Z,report,0,gate_result,Template voice check passed,template=web-audit-suite-template.md,check-template-voice.js,high,pass
2026-05-24T06:18:23.062Z,report,1,placeholder_fill,infill-report.js invoked,template=web-audit-suite-template.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/typo3.com/results out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-24/typo3.com/.infilled/typo3.md,infill-report.js,high,n-a
2026-05-24T06:18:23.486Z,report,1,placeholder_fill,Infill complete,Exit 0 — skeleton at mx-outputs/audit/2026-05-24/typo3.com/.infilled/typo3.md,infill-report.js,high,pass
2026-05-24T06:18:23.486Z,report,2,placeholder_fill,rewrite-report.js: invoked,infilled=mx-outputs/audit/2026-05-24/typo3.com/.infilled/typo3.md out=mx-outputs/audit/2026-05-24/typo3.com/typo3-report.md model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-24T06:27:38.427Z,report,2,api_retry,API retries exhausted (rewrite-report block 6),Error: Connection error.; gave up after 3 attempt(s),rewrite-report.js,medium,fail
2026-05-24T06:27:38.428Z,report,2,placeholder_fill,rewrite-report.js: finished with errors,Exit 1 — report written with failure markers,audit-pipeline.js,medium,warn
2026-05-24T06:27:38.495Z,report,2.5,placeholder_fill,Engagement table regenerated,Deterministic rebuild from priority blocks — no LLM drift possible,regenerate-engagement-table.js,high,pass
2026-05-24T06:27:38.565Z,report,end,phase_end,report phase ended,infill=ok rewrite=warn,audit-pipeline.js,high,warn
