timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-15T19:36:01.424Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-15/neomwellbeing.com/neomwellbeing-com-report.md results=audit-data/domains/neomwellbeing.com/results,audit-pipeline.js,high,n-a
2026-05-15T19:36:01.426Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-15/neomwellbeing.com/neomwellbeing-com-report.md results=audit-data/domains/neomwellbeing.com/results cache=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/neomwellbeing.com/cache,audit-pipeline.js,high,n-a
2026-05-15T19:36:01.427Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-15/neomwellbeing.com/neomwellbeing-com-report.md template=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-reginald/audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-15T19:36:01.560Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-15T19:36:01.560Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-15/neomwellbeing.com/neomwellbeing-com-report.md,check-report-tone.js,high,n-a
2026-05-15T19:36:01.715Z,gates,0b,gate_result,Tone check FAILED,"Exit 1 — 2 violation(s); first: line 1011: ""failure""",check-report-tone.js,high,fail
2026-05-15T19:36:02.474Z,gates,0c,gate_result,HTML render heading count OK: 33/33,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-05-15T19:36:02.474Z,gates,0d,gate_result,check-report-contradictions.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-15/neomwellbeing.com/neomwellbeing-com-report.md ok-contradictions=false,check-report-contradictions.js,high,n-a
2026-05-15T19:36:02.612Z,gates,0d,gate_result,Contradiction check passed,Exit 0 — no dimension appears with conflicting band labels,check-report-contradictions.js,high,pass
2026-05-15T19:36:02.612Z,gates,0e,gate_result,check-report-section-completeness.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-15/neomwellbeing.com/neomwellbeing-com-report.md,check-report-section-completeness.js,high,n-a
2026-05-15T19:36:02.744Z,gates,0e,gate_result,Section completeness passed,Exit 0 — all At-a-Glance priority rows have complete findings blocks,check-report-section-completeness.js,high,pass
