URL,Schema Type,Severity,Property,Why It Matters
https://crowdfavorite.com/insights,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://crowdfavorite.com/insights,WebSite,recommended,author,Site has no top-level author/owner declared
https://crowdfavorite.com/insights/the-role-of-open-source,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 405281 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://crowdfavorite.com/insights/the-role-of-open-source,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://crowdfavorite.com/insights/the-role-of-open-source,WebSite,recommended,author,Site has no top-level author/owner declared
https://crowdfavorite.com/insights/choosing-an-ecommerce-solution,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 407711 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://crowdfavorite.com/insights/choosing-an-ecommerce-solution,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://crowdfavorite.com/insights/choosing-an-ecommerce-solution,WebSite,recommended,author,Site has no top-level author/owner declared
https://crowdfavorite.com/insights/the-value-of-balancing-desirability-feasibility-and-viability,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://crowdfavorite.com/insights/the-value-of-balancing-desirability-feasibility-and-viability,WebSite,recommended,author,Site has no top-level author/owner declared
https://crowdfavorite.com/insights/personalized-digital-experiences,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 406053 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://crowdfavorite.com/insights/personalized-digital-experiences,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://crowdfavorite.com/insights/personalized-digital-experiences,WebSite,recommended,author,Site has no top-level author/owner declared
https://crowdfavorite.com/,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://crowdfavorite.com/,WebSite,recommended,author,Site has no top-level author/owner declared
https://crowdfavorite.com/,Offer,required,price,Offer has no price — agents cannot compare against alternatives
https://crowdfavorite.com/,Offer,required,priceCurrency,Offer has no currency — agents cannot interpret the price (USD vs GBP vs EUR)
https://crowdfavorite.com/,Offer,recommended,availability,Offer has no in-stock signal; agents cannot tell if buyable
https://crowdfavorite.com/,Offer,recommended,seller,Offer has no seller attribution
https://crowdfavorite.com/,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://crowdfavorite.com/,Service,required,provider,Service has no provider attribution
https://crowdfavorite.com/,Service,recommended,image,Service has no representative image
https://crowdfavorite.com/,Service,recommended,areaServed,Service has no geography declared; agents cannot filter by region
https://crowdfavorite.com/,Service,recommended,offers,Service has no Offer block; pricing structure invisible
https://crowdfavorite.com/campaign/decode2021,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 393175 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://crowdfavorite.com/campaign/decode2021,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://crowdfavorite.com/campaign/decode2021,WebSite,recommended,author,Site has no top-level author/owner declared
https://crowdfavorite.com/support/speed-daemon,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 412720 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://crowdfavorite.com/support/speed-daemon,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://crowdfavorite.com/support/speed-daemon,WebSite,recommended,author,Site has no top-level author/owner declared
https://crowdfavorite.com/campaign/digital-summit-atlanta-2022,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 513813 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://crowdfavorite.com/campaign/digital-summit-atlanta-2022,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://crowdfavorite.com/campaign/digital-summit-atlanta-2022,WebSite,recommended,author,Site has no top-level author/owner declared
https://crowdfavorite.com/campaign/gianthealth,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 412970 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://crowdfavorite.com/campaign/gianthealth,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://crowdfavorite.com/campaign/gianthealth,WebSite,recommended,author,Site has no top-level author/owner declared
https://crowdfavorite.com/cookie-policy/,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://crowdfavorite.com/cookie-policy/,WebSite,recommended,author,Site has no top-level author/owner declared
