timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-06-02T17:17:01.970Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/specification.website/spec-website-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/specification.website/.infill,audit-pipeline.js,high,n-a
2026-06-02T17:17:01.971Z,gates,start,gate_result,audit_errors.json cleared for fresh gates run,Each --gates invocation records its own findings; previous run state has been preserved in the audit log CSV,audit-pipeline.js,high,pass
2026-06-02T17:17:01.971Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/specification.website/spec-website-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/specification.website/.infill cache=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/specification.website/.cache,audit-pipeline.js,high,n-a
2026-06-02T17:17:01.971Z,gates,0-rewrite,gate_result,No rewrite failures surfaced,Body scan found zero [REWRITE FAILED] markers,audit-pipeline.js (Gate 0-rewrite),high,pass
2026-06-02T17:17:01.971Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/specification.website/spec-website-report.md template=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-reginald/audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-06-02T17:17:02.104Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-06-02T17:17:02.106Z,gates,0a-versioning,gate_result,Template-contract drift HARD FAIL,"8 token(s) in template missing from contract: [AB_TEST_CATEGORY_LABEL], [AB_TEST_MACHINE_IMPACT], [AB_TEST_MITIGATIONS], [AB_TEST_PAGES_AFFECTED], [AB_TEST_VARIANT_EVIDENCE], [AB_TEST_VENDOR_NAME], [LINK_INVENTORY_SITEMAP_NOTE], [LINK_INVENTORY_SITEMAP_ROW]; 1 token(s) declared in contract but absent from template: [AVG_LINKS_PER_PAGE]",audit-pipeline.js,high,fail
2026-06-02T17:17:02.106Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/specification.website/spec-website-report.md,check-report-tone.js,high,n-a
2026-06-02T17:17:02.272Z,gates,0b,gate_result,Tone check passed,Exit 0 — no tone violations,check-report-tone.js,high,pass
2026-06-02T17:17:02.443Z,gates,0b-voice,gate_result,check-report-voice.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/specification.website/spec-website-report.md,check-report-voice.js,high,n-a
2026-06-02T17:17:02.524Z,gates,0b-scope,gate_result,check-report-scope.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/specification.website/spec-website-report.md,check-report-scope.js,high,n-a
2026-06-02T17:17:02.597Z,gates,0b-repair,gate_result,voice-scope repair deferred to unified pass,sidecars retained for the single consolidated repair below,audit-pipeline.js,high,pass
2026-06-02T17:17:02.597Z,gates,0b-voice,gate_result,Voice consistency WARNING after auto-repair,2 mixed-voice section(s) remain,check-report-voice.js,high,warn
2026-06-02T17:17:02.598Z,gates,0b-scope,gate_result,Scope check WARNING after auto-repair,1 mis-statement(s) remain,check-report-scope.js,high,warn
2026-06-02T17:17:03.269Z,gates,0c,gate_result,HTML render heading mismatch: markdown=33 rendered=32,Unescaped HTML tag inside a table cell likely causing pandoc raw-text truncation,audit-pipeline.js,high,warn
2026-06-02T17:17:03.270Z,gates,0d,gate_result,check-report-contradictions.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/specification.website/spec-website-report.md ok-contradictions=false,check-report-contradictions.js,high,n-a
2026-06-02T17:17:03.407Z,gates,0d,gate_result,Contradiction check passed,Exit 0 — no dimension appears with conflicting band labels,check-report-contradictions.js,high,pass
2026-06-02T17:17:03.407Z,gates,0d-pages,gate_result,check-report-finding-pages.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/specification.website/spec-website-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/specification.website/.infill,check-report-finding-pages.js,high,n-a
2026-06-02T17:17:03.477Z,gates,0d-pages,gate_result,Finding-page attribution passed,Exit 0 — every named page matches Pa11y attribution,check-report-finding-pages.js,high,pass
2026-06-02T17:17:03.478Z,gates,0e,gate_result,check-report-section-completeness.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/specification.website/spec-website-report.md,check-report-section-completeness.js,high,n-a
2026-06-02T17:17:03.613Z,gates,0e,gate_result,Section completeness passed,Exit 0 — all At-a-Glance priority rows have complete findings blocks,check-report-section-completeness.js,high,pass
2026-06-02T17:17:03.614Z,gates,0p,gate_result,Provenance-gap gate skipped (no results dir),--results not provided to --gates invocation,audit-pipeline.js,low,pass
2026-06-02T17:17:03.614Z,gates,0g,gate_result,check-report-section-sanity.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/specification.website/spec-website-report.md,check-report-section-sanity.js,high,n-a
2026-06-02T17:17:03.755Z,gates,0g,gate_result,Section sanity WARNING - 1 issue(s),"Section contains orphan bullet, leaked IF/ELSE/ENDIF marker, or unexplained code token",check-report-section-sanity.js,high,warn
2026-06-02T17:17:03.755Z,gates,0f,gate_result,check-report-rating-grade.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/specification.website/spec-website-report.md,check-report-rating-grade.js,high,n-a
2026-06-02T17:17:03.894Z,gates,0f,gate_result,Rating-grade check passed,Exit 0 — all rating/grade and score/band pairs match expected thresholds,check-report-rating-grade.js,high,pass
2026-06-02T17:17:03.894Z,gates,1,gate_result,check-template-leaks.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/specification.website/spec-website-report.md,check-template-leaks.js,high,n-a
2026-06-02T17:17:04.031Z,gates,1,gate_result,Template leak check passed,Exit 0 — no unresolved placeholders or REWRITE blocks,check-template-leaks.js,high,pass
2026-06-02T17:17:04.031Z,gates,2,gate_result,verify-audit-report.js invoked,args: --report /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/specification.website/spec-website-report.md --results /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/specification.website/.infill --cache /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/specification.website/.cache,verify-audit-report.js,high,n-a
2026-06-02T17:17:04.232Z,gates,2,gate_result,Deterministic verifier passed,Exit 0 — numeric=24 url=31 html=0 passed=24 skipped=32 total=56,verify-audit-report.js,high,pass
2026-06-02T17:17:04.232Z,gates,2,placeholder_fill,"Verification: 0 deterministic, 0 synthesised, 32 skipped",Deterministic ratio 0% — high LLM ratio indicates data gaps,mx-outputs/audit/2026-06-02/specification.website/spec-website-report-verification.json,high,pass
2026-06-02T17:18:59.606Z,gates,3,gate_result,audit-fierce-critic.js: gate passed,Exit 0,audit-pipeline.js,high,pass
2026-06-02T17:20:46.441Z,gates,4,gate_result,audit-llm-judgment.js: 0 issue(s) — repairing,categories: unknown categories,audit-pipeline.js,medium,warn
2026-06-02T17:20:46.441Z,gates,4,gate_result,llm-judgment repair deferred to unified pass,findings=0,audit-pipeline.js,high,pass
2026-06-02T17:20:46.441Z,gates,3-4-final,gate_result,Running repair-report-unified.js,Consolidates voice + scope + fierce-critic + llm-judgment + attribution findings into one tool-use call after deterministic patches,audit-pipeline.js,high,n-a
2026-06-02T17:22:19.473Z,gates,3-4-final,gate_result,repair-report-unified.js: complete (report ready for PDF),Report ready for PDF,audit-pipeline.js,high,pass
2026-06-02T17:22:19.541Z,gates,3-4-final-regen,placeholder_fill,Engagement table regenerated post-repair,Deterministic rebuild after final repair,regenerate-engagement-table.js,high,pass
2026-06-02T17:22:19.541Z,gates,revalidate,gate_result,Re-running 5 previously-failed gate(s) after consolidated repair,"gates: 0a-versioning, 0b-voice, 0b-scope, 0c, 0g",audit-pipeline.js,high,n-a
2026-06-02T17:22:19.541Z,gates,0a-versioning-revalidate,gate_result,0a-versioning not re-checked (no runner registered),Gate is not addressed by the consolidated repair; preserving original failure,audit-pipeline.js,medium,warn
2026-06-02T17:22:19.618Z,gates,0b-voice-revalidate,gate_result,0b-voice still failed after final repair,Re-check exit 1,audit-pipeline.js,high,fail
2026-06-02T17:22:19.687Z,gates,0b-scope-revalidate,gate_result,0b-scope passes after final repair,Re-check exit 0 after consolidated repair,audit-pipeline.js,high,pass
2026-06-02T17:22:19.687Z,gates,0c-revalidate,gate_result,0c not re-checked (no runner registered),Gate is not addressed by the consolidated repair; preserving original failure,audit-pipeline.js,medium,warn
2026-06-02T17:22:19.824Z,gates,0g-revalidate,gate_result,0g still failed after final repair,Re-check exit 1,audit-pipeline.js,high,fail
2026-06-02T17:22:19.824Z,gates,revalidate,gate_result,"Gates still failing after revalidation: 0a-versioning, 0b-voice, 0c, 0g",Final repair did not fix every early-gate failure,audit-pipeline.js,high,fail
