timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
"2026-04-30T09:16:55Z",collect,2.6,anomaly,egress verdict: clean,vpn=1 signal dns-fail=0/10,check-egress.js,high,pass
"2026-04-30T09:17:02Z",collect,2,anomaly,0/19 well-known paths present,no llms.txt/robots.txt/agent-card.json detected at root,check-wellknown.js,high,warn
"2026-04-30T09:17:15Z",collect,2.5,sitemap_discovery,homepage fallback — no sitemap found,robots.txt empty; no sitemap.xml at root; 0/19 well-known paths,discover-urls.js,high,warn
"2026-04-30T09:19:18Z",collect,3,score_summary,platform=Webflow high confidence; 2 pages processed; MSC 19/100; MX Level 0,platform.json + audit_averages.json,mx-audit,high,pass
"2026-04-30T09:19:18Z",collect,3,anomaly,llms.txt returned 404 — not present,HTTP 404 from mx-audit crawl,mx-audit crawler,high,warn
"2026-04-30T09:19:18Z",collect,3,anomaly,no Schema.org JSON-LD detected on any page,schema_inventory: 0 entities,schema_inventory.json,high,warn
"2026-04-30T09:19:18Z",collect,3.3,anomaly,error page: no custom 404 page (isCustomPage=false); no semantic HTML; no noindex,error-page-test.js result,error_page_test.json,high,warn
"2026-04-30T09:19:18Z",collect,3.4,anomaly,no JSON feeds detected,json-feed-check: no feeds,json_feed_assessment.json,high,n-a
"2026-04-30T09:19:18Z",collect,3.45,anomaly,no hostile UX patterns detected,hostile-ux-check: 0 dialogs/consent/motion,hostile_ux.json,high,pass
"2026-04-30T09:21:40Z",scores,4,score_summary,SEO 54/100 (Good); Accessibility 15/100 (D); Performance 333ms FCP Excellent; AI Suitability 81/100 Excellent; MSC 19/100 D; SDQ 0/100 D; DR 10/100 D,audit_averages.json,high,pass
"2026-04-30T09:21:40Z",scores,4.5-A,finding_verified,Lighthouse heading compliance: Yes (no heading jumps),llm_general_suitability.csv Lighthouse Heading Compliant=Yes,llm_general_suitability.csv,high,pass
"2026-04-30T09:21:40Z",scores,4.5-B,finding_verified,No footer heading tags detected (no <footer> semantic element present),grep on decoded cache found no <h[1-6]> inside footer,decoded HTML cache,high,n-a
"2026-04-30T09:21:40Z",scores,4.5-D,finding_verified,No sitemap; robots.txt empty; no llms.txt; no canonical; no og:image; DR 10/100,discover-urls.js + grep on decoded cache,multiple sources,high,warn
"2026-04-30T09:21:40Z",scores,4.5-E,finding_verified,Semantic ratio 9%; no <main> element; uses <nav> but no <article>/<section>/<footer>,grep on decoded cache: 0 <main>; 1 <nav>,decoded HTML cache,high,warn
"2026-04-30T09:21:40Z",scores,4.5-H,finding_verified,Zero Schema.org JSON-LD entities; SDQ 0/100; no structured data of any kind,schema_inventory.json: 0 entities,schema_inventory.json,high,warn
"2026-04-30T09:21:40Z",scores,4.5-J,finding_verified,Error page: HTTP 404 correct; no custom template; no semantic HTML; no noindex,error_page_test.json isCustomPage=false hasSemantic=false hasNoindex=false,error_page_test.json,high,warn
"2026-04-30T09:21:40Z",scores,4.5-K,finding_verified,Security: HTTPS+HSTS on homepage only; CSP absent; X-Frame-Options absent; X-Content-Type-Options absent,security_report.csv,security_report.csv,high,warn
"2026-04-30T09:21:40Z",scores,4.5-M,finding_verified,MX Journey: Stage 1 Partial 67; Stage 2 Partial 50; Stages 3-5 N/A (non-commerce site),mx_journey_stages.csv,mx_journey_stages.csv,high,warn
"2026-04-30T09:21:40Z",scores,4.5-N,finding_verified,Body content 57% (above 30% threshold); inlineTagBloat detected (3910 bytes inline JS),pipeline_survivability.csv,pipeline_survivability.csv,high,pass
"2026-04-30T09:21:40Z",scores,4.5-img,finding_verified,All 66 images have loading=lazy; 33 PNG + 33 SVG formats; all appear to have alt attributes but Pa11y flags 2+2 image-only links,image_optimization.csv + decoded HTML + pa11y,multiple,medium,warn
"2026-04-30T09:21:40Z",scores,4.5-pa11y,finding_verified,34 Pa11y issues all template-level: 30x duplicate ID accordian-default-main (WCAG 4.1.1); 4x image-link missing alt (WCAG 1.1.1),pa11y_recurring_patterns.json 3 template patterns,pa11y_recurring_patterns.json,high,warn
"2026-04-30T09:21:40Z",scores,4.5-content,anomaly,Only 2 URLs audited — homepage + fragment (#); effectively a single-page Webflow site with anchor navigation,results.json 2 pages both nav; urlCount=4 in sitemap-discrepancy (internal crawl links),results.json,high,warn
