timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-13T18:44:52.562Z,collect,start,phase_start,collect phase started,url=https://neomwellbeing.com/ pages=12 client=neomwellbeing-com date=2026-05-13,audit-pipeline.js,high,n-a
2026-05-13T18:44:52.562Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://neomwellbeing.com pages=12 forceFresh=false client=neomwellbeing-com date=2026-05-13,audit-pipeline.js,high,n-a
2026-05-13T18:44:52.564Z,collect,1,anomaly,check-egress.js invoked,url=https://neomwellbeing.com,check-egress.js,high,n-a
2026-05-13T18:44:52.782Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-05-13T18:44:52.782Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://neomwellbeing.com,check-wellknown.js,high,n-a
2026-05-13T18:44:55.473Z,collect,2,sitemap_discovery,Well-known probe passed,Exit 0,check-wellknown.js,high,pass
2026-05-13T18:44:55.474Z,collect,3,anomaly,Results dir cleared: mx-audit/domains/neomwellbeing.com/results,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-05-13T18:44:56.008Z,collect,4,sitemap_discovery,Sitemap: https://neomwellbeing.com/sitemap.xml,Responded HTTP 200 to HEAD request,https://neomwellbeing.com/sitemap.xml,high,pass
2026-05-13T18:44:56.009Z,collect,5,sitemap_discovery,mx-audit/index.js invoked,entry=https://neomwellbeing.com/sitemap.xml pages=12 forceFresh=false,mx-audit/index.js,high,n-a
2026-05-13T18:53:15.356Z,collect,5,score_summary,Crawler complete,Exit 0,mx-audit/domains/neomwellbeing.com/results,high,pass
2026-05-13T18:53:15.356Z,collect,5a,sitemap_discovery,discover-urls.js invoked,url=https://neomwellbeing.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/domains/neomwellbeing.com/results/discovery.json,discover-urls.js,high,n-a
2026-05-13T18:53:17.257Z,collect,5a,sitemap_discovery,Sitemap grading complete,discovery.json written — SITEMAP_* placeholders will be filled at report time,/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/domains/neomwellbeing.com/results/discovery.json,high,pass
2026-05-13T18:53:17.257Z,collect,6,anomaly,error-page-test.js invoked,url=https://neomwellbeing.com,error-page-test.js,high,n-a
