timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-19T17:54:43.414Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-19/typo3.org/typo3-org-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/typo3.org/results,audit-pipeline.js,high,n-a
2026-05-19T17:54:43.415Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-19/typo3.org/typo3-org-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/typo3.org/results cache=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/typo3.org/cache,audit-pipeline.js,high,n-a
2026-05-19T17:54:43.416Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-19/typo3.org/typo3-org-report.md template=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-reginald/audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-19T17:54:43.563Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-19T17:54:43.563Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-19/typo3.org/typo3-org-report.md,check-report-tone.js,high,n-a
2026-05-19T17:54:43.745Z,gates,0b,gate_result,Tone check FAILED,"Exit 1 — 2 violation(s); first: line 89: ""—""",check-report-tone.js,high,fail
2026-05-19T17:54:43.745Z,gates,0b-voice,gate_result,check-report-voice.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-19/typo3.org/typo3-org-report.md,check-report-voice.js,high,n-a
2026-05-19T17:54:43.820Z,gates,0b-scope,gate_result,check-report-scope.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-19/typo3.org/typo3-org-report.md,check-report-scope.js,high,n-a
2026-05-19T17:54:43.896Z,gates,0b-scope,gate_result,Scope check passed,Exit 0 — no scope mis-statements,check-report-scope.js,high,pass
2026-05-19T17:54:43.896Z,gates,0b-repair,gate_result,repair-report-voice-scope.js invoked,triggered by: voice (2),repair-report-voice-scope.js,high,n-a
