timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-20T17:40:48.775Z,collect,start,phase_start,collect phase started,url=https://www.dkd.de/ pages=5 client=www-dkd-de date=2026-05-20,audit-pipeline.js,high,n-a
2026-05-20T17:40:48.775Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://www.dkd.de pages=5 forceFresh=false client=www-dkd-de date=2026-05-20,audit-pipeline.js,high,n-a
2026-05-20T17:40:48.776Z,collect,1,anomaly,check-egress.js invoked,url=https://www.dkd.de,check-egress.js,high,n-a
2026-05-20T17:40:49.015Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-05-20T17:40:49.015Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://www.dkd.de,check-wellknown.js,high,n-a
2026-05-20T17:40:50.146Z,collect,2,sitemap_discovery,Well-known probe passed,Exit 0,check-wellknown.js,high,pass
2026-05-20T17:40:50.147Z,collect,3,anomaly,Results dir cleared: audit-data/domains/www.dkd.de/results,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-05-20T17:40:50.147Z,collect,3a,sitemap_discovery,check-ai-usage.js invoked,url=https://www.dkd.de,check-ai-usage.js,high,n-a
2026-05-20T17:40:51.555Z,collect,3a,sitemap_discovery,AI Usage Declaration probe passed,Exit 0,check-ai-usage.js,high,pass
2026-05-20T17:40:51.989Z,collect,4,sitemap_discovery,No sitemap — falling back to root: https://www.dkd.de,"sitemap.xml, sitemap_index.xml, and robots.txt Sitemap: all returned non-200",https://www.dkd.de,medium,warn
2026-05-20T17:40:51.989Z,collect,5,sitemap_discovery,mx-reginald/audit/index.js invoked,entry=https://www.dkd.de htmlPagesRequested=5 crawlCap=7 (buffer=2 for non-HTML discovery files) forceFresh=false,mx-reginald/audit/index.js,high,n-a
2026-05-20T17:40:56.801Z,collect,5,anomaly,Crawler FAILED,Exit 1,mx-reginald/audit/index.js,high,fail
