timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-04-30T13:14:05.260Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-04-30/baremetal-vc-report-v2.md results=mx-audit/results/baremetal.vc cache=/Users/tomcranstoun/Documents/MX-hub/mx-audit/.cache,audit-pipeline.js,high,n-a
2026-04-30T13:14:05.262Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-04-30/baremetal-vc-report-v2.md template=/Users/tomcranstoun/Documents/MX-hub/mx-audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-04-30T13:14:05.383Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-04-30T13:14:05.383Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-04-30/baremetal-vc-report-v2.md,check-report-tone.js,high,n-a
2026-04-30T13:14:05.515Z,gates,0b,gate_result,Tone check passed,Exit 0 — no tone violations,check-report-tone.js,high,pass
2026-04-30T13:14:05.515Z,gates,1,gate_result,check-template-leaks.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-04-30/baremetal-vc-report-v2.md,check-template-leaks.js,high,n-a
2026-04-30T13:14:05.635Z,gates,1,gate_result,Template leak check passed,Exit 0 — no unresolved placeholders or REWRITE blocks,check-template-leaks.js,high,pass
2026-04-30T13:14:05.635Z,gates,2,gate_result,verify-audit-report.js invoked,args: --report /Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-04-30/baremetal-vc-report-v2.md --results mx-audit/results/baremetal.vc --cache /Users/tomcranstoun/Documents/MX-hub/mx-audit/.cache,verify-audit-report.js,high,n-a
2026-04-30T13:14:05.778Z,gates,2,gate_result,Deterministic verifier passed,Exit 0 — all numeric claims match source CSVs/JSON,verify-audit-report.js,high,pass
2026-04-30T13:14:05.778Z,gates,3,gate_result,audit-fierce-critic.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-04-30/baremetal-vc-report-v2.md,audit-fierce-critic.js,high,n-a
2026-04-30T13:14:05.938Z,gates,3,gate_result,Fierce critic passed,"Exit 0 — no leaked boilerplate, uncited claims, or contradictions",audit-fierce-critic.js,high,pass
2026-04-30T13:14:05.938Z,gates,4,gate_result,audit-llm-judgment.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-04-30/baremetal-vc-report-v2.md results=mx-audit/results/baremetal.vc threshold=warn,audit-llm-judgment.js,high,n-a
2026-04-30T13:14:13.995Z,gates,4,gate_result,LLM judgment passed,Exit 0 — cross-section recommendation order consistent,audit-llm-judgment.js,high,pass
2026-04-30T13:14:13.995Z,gates,5,gate_result,mx.pdf.sh invoked,input=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-04-30/baremetal-vc-report-v2.md output=/Users/tomcranstoun/Documents/MX-hub/mx-outputs/pdf/outreach/2026-04-30/baremetal-vc-report-v2.pdf,mx.pdf.sh,high,n-a
2026-04-30T13:14:16.244Z,gates,5,gate_result,PDF generation FAILED,mx.pdf.sh exit 4,mx.pdf.sh,high,fail
