timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-02T13:38:52.412Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/danger-devices-report.md results=mx-audit/results/dangerdevices.com,audit-pipeline.js,high,n-a
2026-05-02T13:38:52.413Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/danger-devices-report.md results=mx-audit/results/dangerdevices.com cache=/Users/tomcranstoun/Documents/MX-hub/mx-audit/.cache,audit-pipeline.js,high,n-a
2026-05-02T13:38:52.414Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/danger-devices-report.md template=/Users/tomcranstoun/Documents/MX-hub/mx-audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-02T13:38:52.540Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-02T13:38:52.540Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/danger-devices-report.md,check-report-tone.js,high,n-a
2026-05-02T13:38:52.681Z,gates,0b,gate_result,Tone check passed,Exit 0 — no tone violations,check-report-tone.js,high,pass
2026-05-02T13:38:53.028Z,gates,0c,gate_result,HTML render heading count OK: 29/29,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-05-02T13:38:53.028Z,gates,1,gate_result,check-template-leaks.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/danger-devices-report.md,check-template-leaks.js,high,n-a
2026-05-02T13:38:53.155Z,gates,1,gate_result,Template leak check passed,Exit 0 — no unresolved placeholders or REWRITE blocks,check-template-leaks.js,high,pass
2026-05-02T13:38:53.155Z,gates,2,gate_result,verify-audit-report.js invoked,args: --report /Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/danger-devices-report.md --results mx-audit/results/dangerdevices.com --cache /Users/tomcranstoun/Documents/MX-hub/mx-audit/.cache,verify-audit-report.js,high,n-a
2026-05-02T13:38:53.306Z,gates,2,gate_result,Deterministic verifier passed,Exit 0 — numeric=29 url=28 html=0 passed=29 skipped=29 total=58,verify-audit-report.js,high,pass
2026-05-02T13:38:53.307Z,gates,2,placeholder_fill,"Verification: 0 deterministic, 0 synthesised, 29 skipped",Deterministic ratio 0% — high LLM ratio indicates data gaps,mx-crm/outreach/2026-05-02/danger-devices-report-verification.json,high,pass
2026-05-02T13:38:53.307Z,gates,3,gate_result,audit-fierce-critic.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/danger-devices-report.md,audit-fierce-critic.js,high,n-a
2026-05-02T13:39:12.777Z,gates,3,gate_result,Fierce critic FAILED,"Exit 1 — 8 finding(s) in categories: absence-as-positive, subtle-failure-framing, hollow-recommendation, voice-drift, fabricated-specificity",audit-fierce-critic.js,high,fail
2026-05-02T13:39:12.777Z,gates,4,llm_round,LLM judgment round 1 — threshold=block,Prior rounds: 0; auto-warn at 3; within cap,audit-pipeline.js,high,n-a
2026-05-02T13:39:12.777Z,gates,4,gate_result,audit-llm-judgment.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/danger-devices-report.md results=mx-audit/results/dangerdevices.com threshold=block priorRounds=0,audit-llm-judgment.js,high,n-a
2026-05-02T13:39:25.956Z,gates,4,gate_result,LLM judgment FAILED,"Exit 1 round=1 findings=5 categories: missing-in-engagement, missing-priority, tone-inconsistency, sample-vs-total-overreach, hedged-vs-asserted-imbalance",audit-llm-judgment.js,high,fail
2026-05-02T13:39:25.956Z,gates,5,gate_result,Gates pipeline BLOCKED — PDF not generated,One or more gates failed; see individual gate rows,audit-pipeline.js,high,fail
2026-05-02T13:39:25.956Z,gates,end,phase_end,gates phase ended — FAILED,Exiting with gate failures; PDF not generated,audit-pipeline.js,high,fail
2026-05-02T14:05:24.396Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/danger-devices-report.md results=/Users/tomcranstoun/Documents/MX-hub/mx-audit/results/danger.devices,audit-pipeline.js,high,n-a
2026-05-02T14:05:24.397Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/danger-devices-report.md results=/Users/tomcranstoun/Documents/MX-hub/mx-audit/results/danger.devices cache=/Users/tomcranstoun/Documents/MX-hub/mx-audit/.cache,audit-pipeline.js,high,n-a
2026-05-02T14:05:24.398Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/danger-devices-report.md template=/Users/tomcranstoun/Documents/MX-hub/mx-audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-02T14:05:24.528Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-02T14:05:24.528Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/danger-devices-report.md,check-report-tone.js,high,n-a
2026-05-02T14:05:24.673Z,gates,0b,gate_result,Tone check passed,Exit 0 — no tone violations,check-report-tone.js,high,pass
2026-05-02T14:05:25.004Z,gates,0c,gate_result,HTML render heading count OK: 29/29,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-05-02T14:05:25.004Z,gates,1,gate_result,check-template-leaks.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/danger-devices-report.md,check-template-leaks.js,high,n-a
