timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-14T14:43:39.674Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-14/neomwellbeing-com-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/domains/neomwellbeing.com/results,audit-pipeline.js,high,n-a
2026-05-14T14:43:39.675Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-14/neomwellbeing-com-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/domains/neomwellbeing.com/results cache=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/domains/neomwellbeing.com/cache,audit-pipeline.js,high,n-a
2026-05-14T14:43:39.676Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-14/neomwellbeing-com-report.md template=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-14T14:43:39.814Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-14T14:43:39.814Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-14/neomwellbeing-com-report.md,check-report-tone.js,high,n-a
2026-05-14T14:43:39.969Z,gates,0b,gate_result,Tone check passed,Exit 0 — no tone violations,check-report-tone.js,high,pass
2026-05-14T14:43:40.755Z,gates,0c,gate_result,HTML render heading count OK: 31/31,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-05-14T14:43:40.755Z,gates,0d,gate_result,check-report-contradictions.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-14/neomwellbeing-com-report.md ok-contradictions=false,check-report-contradictions.js,high,n-a
2026-05-14T14:43:40.889Z,gates,0d,gate_result,Contradiction check passed,Exit 0 — no dimension appears with conflicting band labels,check-report-contradictions.js,high,pass
2026-05-14T14:43:40.890Z,gates,0e,gate_result,check-report-section-completeness.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-14/neomwellbeing-com-report.md,check-report-section-completeness.js,high,n-a
2026-05-14T14:43:41.022Z,gates,0e,gate_result,Section completeness passed,Exit 0 — all At-a-Glance priority rows have complete findings blocks,check-report-section-completeness.js,high,pass
2026-05-14T14:43:41.023Z,gates,0p,gate_result,check-report-provenance-gap.js invoked,results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/domains/neomwellbeing.com/results warn-year-swap=false,check-report-provenance-gap.js,high,n-a
2026-05-14T14:43:41.093Z,gates,0p,gate_result,Provenance-gap gate passed,Exit 0 — no blocking provenance signals,check-report-provenance-gap.js,high,pass
2026-05-14T14:43:41.093Z,gates,0g,gate_result,check-report-section-sanity.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-14/neomwellbeing-com-report.md,check-report-section-sanity.js,high,n-a
2026-05-14T14:43:41.229Z,gates,0g,gate_result,Section sanity passed,Exit 0 — no orphan bullets / leaked markers / unexplained tokens,check-report-section-sanity.js,high,pass
2026-05-14T14:43:41.229Z,gates,0f,gate_result,check-report-rating-grade.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-14/neomwellbeing-com-report.md,check-report-rating-grade.js,high,n-a
2026-05-14T14:43:41.367Z,gates,0f,gate_result,Rating-grade check passed,Exit 0 — all rating/grade and score/band pairs match expected thresholds,check-report-rating-grade.js,high,pass
2026-05-14T14:43:41.367Z,gates,1,gate_result,check-template-leaks.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-14/neomwellbeing-com-report.md,check-template-leaks.js,high,n-a
2026-05-14T14:43:41.509Z,gates,1,gate_result,Template leak check passed,Exit 0 — no unresolved placeholders or REWRITE blocks,check-template-leaks.js,high,pass
2026-05-14T14:43:41.510Z,gates,2,gate_result,verify-audit-report.js invoked,args: --report /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-14/neomwellbeing-com-report.md --results /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/domains/neomwellbeing.com/results --cache /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/domains/neomwellbeing.com/cache,verify-audit-report.js,high,n-a
2026-05-14T14:43:41.908Z,gates,2,gate_result,Deterministic verifier passed,Exit 0 — numeric=40 url=38 html=0 passed=40 skipped=39 total=79,verify-audit-report.js,high,pass
2026-05-14T14:43:41.909Z,gates,2,placeholder_fill,"Verification: 0 deterministic, 0 synthesised, 39 skipped",Deterministic ratio 0% — high LLM ratio indicates data gaps,mx-crm/outreach/2026-05-14/neomwellbeing-com-report-verification.json,high,pass
2026-05-14T14:43:41.909Z,gates,3,fierce_round,Fierce critic round 1 of 3,Prior iterations: 0,audit-pipeline.js,high,n-a
2026-05-14T14:44:14.670Z,gates,3,gate_result,Fierce critic passed,Exit 0 — round 1,audit-fierce-critic.js,high,pass
2026-05-14T14:44:14.670Z,gates,4,llm_round,LLM judgment round 1 of 3,Prior iterations: 0,audit-pipeline.js,high,n-a
2026-05-14T14:44:28.841Z,gates,4,gate_result,LLM judgment passed,Exit 0 — round 1 withdrawn=6,audit-llm-judgment.js,high,pass
2026-05-14T14:44:28.841Z,gates,3-4-final,gate_result,Running final repair pass,Consolidates fierce-critic + llm-judgment findings into one pass before PDF,audit-pipeline.js,high,n-a
2026-05-14T14:53:00.321Z,gates,3-4-final,gate_result,Final repair pass complete,Report ready for PDF,repair-report-final.js,high,pass
2026-05-14T14:53:00.321Z,gates,5,gate_result,mx.pdf.sh invoked,input=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-14/neomwellbeing-com-report.md output=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/pdf/outreach/2026-05-14/neomwellbeing-com-report.pdf engine=chrome,mx.pdf.sh,high,n-a
