timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-13T19:14:43.554Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-13/neomwellbeing-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/domains/neomwellbeing/results,audit-pipeline.js,high,n-a
2026-05-13T19:14:43.555Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-13/neomwellbeing-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/domains/neomwellbeing/results cache=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/domains/neomwellbeing/cache,audit-pipeline.js,high,n-a
2026-05-13T19:14:43.557Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-13/neomwellbeing-report.md template=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-13T19:14:43.693Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-13T19:14:43.693Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-13/neomwellbeing-report.md,check-report-tone.js,high,n-a
2026-05-13T19:14:43.848Z,gates,0b,gate_result,Tone check FAILED,"Exit 1 — 14 violation(s); first: line 812: ""center → centre""",check-report-tone.js,high,fail
2026-05-13T19:14:46.522Z,gates,0c,gate_result,HTML render heading count OK: 30/30,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-05-13T19:14:46.522Z,gates,0d,gate_result,check-report-contradictions.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-13/neomwellbeing-report.md ok-contradictions=false,check-report-contradictions.js,high,n-a
2026-05-13T19:14:46.662Z,gates,0d,gate_result,Contradiction check passed,Exit 0 — no dimension appears with conflicting band labels,check-report-contradictions.js,high,pass
2026-05-13T19:14:46.662Z,gates,0e,gate_result,check-report-section-completeness.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-13/neomwellbeing-report.md,check-report-section-completeness.js,high,n-a
2026-05-13T19:14:46.798Z,gates,0e,gate_result,Section completeness passed,Exit 0 — all At-a-Glance priority rows have complete findings blocks,check-report-section-completeness.js,high,pass
2026-05-13T19:14:46.798Z,gates,0g,gate_result,check-report-section-sanity.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-13/neomwellbeing-report.md,check-report-section-sanity.js,high,n-a
2026-05-13T19:14:46.934Z,gates,0g,gate_result,Section sanity passed,Exit 0 — no orphan bullets / leaked markers / unexplained tokens,check-report-section-sanity.js,high,pass
2026-05-13T19:14:46.935Z,gates,0f,gate_result,check-report-rating-grade.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-13/neomwellbeing-report.md,check-report-rating-grade.js,high,n-a
2026-05-13T19:14:47.070Z,gates,0f,gate_result,Rating-grade check passed,Exit 0 — all rating/grade and score/band pairs match expected thresholds,check-report-rating-grade.js,high,pass
